pid,source_row,time,food,amount,unit,Carbs,Protein,Fat,Calories,complete_macros,gram_unit,macro_mass,mass_conflict,calorie_macro_mismatch,macro_kcal
1,4,2020-02-13 20:30:00,Asparagus,4.0,nan,2.5,1.4,0.1,13.0,True,False,4.0,False,True,16.5
1,5,2020-02-14 07:10:00,Natrel Lactose Free 2 Percent,8.0,fluid ounce,9.0,12.0,,120.0,False,False,,False,False,
1,6,2020-02-14 07:10:00,Standard Breakfast,0.75,cup,26.0,1.0,,110.0,False,False,,False,False,
1,7,2020-02-14 09:38:00,Breakfast Trail Mix,0.5,cup,30.0,4.0,,280.0,False,False,,False,False,
1,8,2020-02-14 12:38:00,Spinach Salad w/ strawberries and cheese,200.0,grams,14.0,7.6,,286.0,False,True,,False,False,
1,9,2020-02-14 12:38:00,Egg,1.0,nan,0.4,6.3,,72.0,False,False,,False,False,
1,10,2020-02-14 19:30:00,Acai Smoothie,20.0,fluid ounce,92.0,5.0,,440.0,False,False,,False,False,
1,11,2020-02-14 20:00:00,(Trader Joe's) Mac and Cheese,0.5,cup,23.5,5.0,,135.0,False,False,,False,False,
1,12,2020-02-14 20:00:00,Coconut Shrimp,5.0,nan,30.0,11.0,,317.0,False,False,,False,False,
1,13,2020-02-15 07:30:00,Spinach Smoothie,20.0,fluid ounce,69.0,7.2,,308.0,False,False,,False,False,
1,14,2020-02-15 11:02:00,Breakfast Trail Mix,0.5,cup,30.0,4.0,,280.0,False,False,,False,False,
1,15,2020-02-15 12:38:00,"Spinach Salad w/ blueberries, egg, and cheese",200.0,grams,14.0,7.6,,286.0,False,True,,False,False,
1,16,2020-02-15 12:38:00,Egg,1.0,nan,0.4,6.3,,72.0,False,False,,False,False,
1,17,2020-02-15 15:30:00,Babel Cheese,1.0,nan,0.3,5.0,,71.0,False,False,,False,False,
1,18,2020-02-15 15:35:00,Breakfast Trail Mix,0.5,cup,30.0,4.0,,280.0,False,False,,False,False,
1,19,2020-02-15 20:30:00,Bourbon Chicken,0.5,cup,10.0,22.0,,212.0,False,False,,False,False,
1,20,2020-02-15 20:30:00,Rice,0.5,cup,22.0,2.1,,103.0,False,False,,False,False,
1,21,2020-02-15 20:30:00,Shrimp,0.5,cup,1.1,17.0,,86.0,False,False,,False,False,
1,22,2020-02-15 20:30:00,Cabbage,0.5,cup,4.1,0.9,,17.0,False,False,,False,False,
1,23,2020-02-16 07:00:00,Natrel Lactose Free 2 Percent,8.0,fluid ounce,9.0,12.0,,120.0,False,False,,False,False,
1,24,2020-02-16 07:00:00,Standard Breakfast,0.75,cup,26.0,1.0,,110.0,False,False,,False,False,
1,25,2020-02-16 08:15:00,Breakfast Trail Mix,0.5,cup,30.0,4.0,,280.0,False,False,,False,False,
1,26,2020-02-16 08:49:00,Hot Chocolate,1.0,cup,32.0,2.5,,151.0,False,False,,False,False,
1,27,2020-02-16 11:56:00,Salty Sweet Popcorn,1.0,cup,14.0,2.0,,110.0,False,False,,False,False,
1,28,2020-02-16 12:15:00,Bourbon Chicken,0.5,cup,10.0,22.0,,212.0,False,False,,False,False,
1,29,2020-02-16 12:15:00,Shrimp,0.5,cup,1.1,17.0,,86.0,False,False,,False,False,
1,30,2020-02-16 21:10:00,Chai Tea,20.0,fluid ounce,3.4,0.2,,12.0,False,False,,False,False,
1,31,2020-02-17 06:42:00,Maple Brown Sugar Oatmeal,1.0,nan,33.0,4.0,,158.0,False,False,,False,False,
1,32,2020-02-17 12:30:00,Salad with Cranberries,2.0,cup,21.0,0.0,,80.0,False,False,,False,False,
1,33,2020-02-17 12:30:00,Chicken Nuggets,3.0,nan,7.2,7.5,,147.0,False,False,,False,False,
1,34,2020-02-17 21:00:00,Kale Salad,2.0,cup,4.0,1.2,,83.7,False,False,,False,False,
1,35,2020-02-17 21:00:00,Pizza,1.0,slice,36.0,12.0,,285.0,False,False,,False,False,
1,36,2020-02-17 21:56:00,Oreo Cookies,2.0,nan,17.0,0.7,,107.0,False,False,,False,False,
1,37,2020-02-18 06:20:00,Natrel Lactose Free 2 Percent,8.0,fluid ounce,9.0,12.0,,120.0,False,False,,False,False,
1,38,2020-02-18 06:20:00,Standard Breakfast,0.75,cup,26.0,1.0,,110.0,False,False,,False,False,
1,39,2020-02-18 11:00:00,Muffin,0.5,nan,30.0,2.5,,212.0,False,False,,False,False,
1,40,2020-02-18 11:45:00,Grilled Chicken Wrap,0.5,nan,23.0,16.0,,277.0,False,False,,False,False,
1,41,2020-02-18 01:40:00,Kale and Fruit Smoothie,20.0,fluid ounce,70.0,7.3,,307.5,False,False,,False,False,
1,42,2020-02-18 22:00:00,Ranch Wings,8.0,nan,30.4,44.0,,776.0,False,False,,False,False,
1,43,2020-02-19 11:00:00,Acai Smoothie,20.0,fluid ounce,92.0,5.0,,440.0,False,False,,False,False,
1,44,2020-02-19 15:30:00,Lemon Loaf,0.5,nan,34.0,3.0,,235.0,False,False,,False,False,
1,45,2020-02-19 18:00:00,Turkey Slider,1.0,nan,21.0,18.0,,314.0,False,False,,False,False,
1,46,2020-02-19 20:00:00,Chicken and Rice,2.0,cup,22.0,67.0,,532.0,False,False,,False,False,
1,47,2020-02-20 07:37:00,Green Smoothie,20.0,fluid ounce,69.0,7.2,,308.0,False,False,,False,False,
1,48,2020-02-20 07:37:00,Bagel,0.5,nan,27.0,5.5,,139.0,False,False,,False,False,
1,49,2020-02-20 12:30:00,Salad,2.0,cup,2.8,0.8,,13.0,False,False,,False,False,
1,50,2020-02-20 13:00:00,Hot Chocolate,1.0,cup,32.0,2.5,,151.0,False,False,,False,False,
1,51,2020-02-20 12:30:00,Babel bell cheese,1.0,nan,0.3,5.0,,71.0,False,False,,False,False,
1,52,2020-02-20 18:45:00,Tangerine Orange,1.0,nan,12.0,0.7,,47.0,False,False,,False,False,
1,53,2020-02-20 20:15:00,Salad,2.0,cup,2.8,0.8,,13.0,False,False,,False,False,
1,54,2020-02-20 20:30:00,Green Smoothie,20.0,fluid ounce,69.0,7.2,,308.0,False,False,,False,False,
1,55,2020-02-21 07:30:00,Natrel Lactose Free 2 Percent,8.0,fluid ounce,9.0,12.0,,120.0,False,False,,False,False,
1,56,2020-02-21 07:30:00,Standard Breakfast,0.75,cup,26.0,1.0,,110.0,False,False,,False,False,
1,57,2020-02-21 11:00:00,Babybel Cheese,1.0,nan,0.3,5.0,,71.0,False,False,,False,False,
1,58,2020-02-21 12:30:00,Chicken Salad,0.5,cup,3.3,19.0,,254.0,False,False,,False,False,
1,59,2020-02-21 12:30:00,Pita Bread,7.0,nan,109.0,18.0,,539.0,False,False,,False,False,
1,60,2020-02-21 19:50:00,Cheese Pita,5.0,nan,95.0,30.0,,640.0,False,False,,False,False,
1,61,2020-02-21 20:00:00,Spinach Smoothie,20.0,fluid ounce,69.0,7.2,,308.0,False,False,,False,False,
2,5,2020-02-21 12:12:00,(Gatorade) Fierce Grape,12.0,fluid ounce,21.6,0.0,,84.0,False,False,,False,False,
2,6,2020-02-21 14:02:00,Banquet Chicken Pot Pie,198.0,gram,66.0,24.0,,700.0,False,True,,False,False,
2,7,2020-02-21 18:00:00,(Red Baron) Brick Oven Pepperoni Pizza,1.0,nan,144.0,52.0,,1360.0,False,False,,False,False,
