pid,time,prior_labeled,usable_history,breakfast,lunch,dinner,query_floor_minutes
1,2020-05-07 10:07:00,26,20,5,6,4,0
1,2020-05-10 09:27:00,39,29,8,9,5,0
2,2019-11-21 09:55:00,20,13,5,3,3,0
2,2019-11-24 08:09:00,32,19,7,5,5,0
3,2020-03-17 09:07:00,19,11,4,0,5,0
3,2020-03-20 08:13:00,30,19,7,1,8,0
4,2023-09-17 08:49:00,29,20,5,6,6,0
4,2023-09-20 09:30:00,54,30,7,9,8,0
5,2020-08-23 10:48:00,26,19,5,6,3,0
5,2020-08-26 08:19:00,41,28,8,9,6,0
6,2023-04-13 10:05:00,20,17,5,6,4,0
6,2023-04-16 07:16:00,32,27,8,9,7,0
8,2023-02-05 09:57:00,17,17,5,6,6,0
8,2023-02-08 08:01:00,26,26,8,9,9,0
9,2020-09-21 08:39:00,25,22,5,6,4,0
9,2020-09-24 07:51:00,37,31,8,9,5,0
10,2020-06-27 05:25:00,26,17,4,4,5,0
10,2020-06-30 07:27:00,40,26,7,7,7,0
14,2023-05-15 07:29:00,21,18,5,6,3,0
14,2023-05-18 08:15:00,34,29,8,9,5,0
17,2023-10-16 09:41:00,30,19,5,6,3,0
17,2023-10-19 08:30:00,42,26,8,7,6,0
27,2024-06-16 10:15:00,19,18,5,6,5,0
27,2024-06-19 10:11:00,30,27,8,9,7,0
31,2022-07-05 07:45:00,29,11,4,5,2,0
31,2022-07-08 07:18:00,47,20,7,8,4,0
32,2022-01-07 07:01:00,10,10,5,5,0,0
32,2022-01-10 05:10:00,17,13,6,7,0,101
33,2022-04-22 09:56:00,19,10,4,6,0,0
33,2022-04-25 07:22:00,29,18,7,9,1,0
34,2022-03-08 06:16:00,31,11,5,5,1,0
34,2022-03-11 07:24:00,45,16,8,7,1,0
35,2024-12-18 07:10:00,16,13,5,6,2,0
35,2024-12-21 06:53:00,25,19,8,9,2,0
36,2022-04-04 08:18:00,17,13,5,6,2,0
36,2022-04-07 07:54:00,26,19,8,9,2,0
38,2022-01-31 07:03:00,23,13,5,5,0,0
38,2022-02-03 07:17:00,35,20,8,8,0,0
39,2025-02-13 08:04:00,21,11,5,6,0,0
39,2025-02-16 07:13:00,30,16,7,9,0,0
41,2022-05-02 08:19:00,29,14,5,3,4,0
41,2022-05-05 07:59:00,43,26,8,5,7,0
42,2025-07-31 08:40:00,14,8,4,2,1,0
42,2025-08-03 10:28:00,20,11,7,2,1,0
43,2025-10-20 08:00:00,35,17,5,6,4,0
43,2025-10-23 08:08:00,56,28,8,9,9,0
44,2022-10-23 06:24:00,25,10,5,2,1,0
44,2022-10-26 07:45:00,38,17,8,4,2,0
45,2025-03-31 08:56:00,16,10,5,3,0,0
45,2025-04-03 08:46:00,27,16,8,4,1,0
49,2025-05-17 07:11:00,16,9,5,4,0,0
49,2025-05-20 07:06:00,25,14,8,6,0,0
