rule,n,hits,mae
CGM_True,52,11,17.612297950767985
CGM_activity_True,52,10,17.29936796984725
anchor_area_0_180,52,7,33.86644128249972
anchor_area_0_60,50,9,25.93682344999481
anchor_area_120_180,50,15,50.32208572861292
anchor_area_60_120,52,11,20.87395413554198
anchor_area_centroid,52,4,32.37330383765531
anchor_early_peak,52,7,30.403202373350986
anchor_late_area_fraction,50,11,33.944643088618776
anchor_peak,52,8,24.285302362174097
anchor_peak_time,50,6,43.49647648902821
anchor_positive_duration,52,12,34.990848418018544
anchor_rise_0_30,52,4,105.23791166400142
anchor_steepest_15min_rise,52,3,161.55989715467894
history_amplitude_1,52,23,16.5
history_amplitude_3,52,8,17.50500433226708
history_amplitude_context_1,52,16,25.21153846153846
history_amplitude_context_3,52,6,19.66780543065544
history_shape_1,52,13,28.576923076923077
history_shape_3,52,7,22.02241777192257
