candidate,features,degree,alpha,hits,MAE
0,peak,1,1.0,0,19.89709386109122
1,peak,1,10.0,0,20.062529781927537
2,peak,1,100.0,0,20.625011912771015
3,peak,2,1.0,2,19.814092225283996
4,peak,2,10.0,2,19.814192999302556
5,peak,2,100.0,0,20.612880718061277
6,area_60_120,1,1.0,2,18.49198654425866
7,area_60_120,1,10.0,1,18.625880870312155
8,area_60_120,1,100.0,1,19.63127142719759
9,area_60_120,2,1.0,3,16.784187556489947
10,area_60_120,2,10.0,2,17.7011314735361
11,area_60_120,2,100.0,1,19.704373547049673
12,area_centroid,1,1.0,0,20.027107864537818
13,area_centroid,1,10.0,0,20.051887838703294
14,area_centroid,1,100.0,1,20.272749047610468
15,area_centroid,2,1.0,0,21.57927316448112
16,area_centroid,2,10.0,0,21.105396858675412
17,area_centroid,2,100.0,1,20.268245332007666
18,peak+area_60_120,1,1.0,2,17.849039307528933
19,peak+area_60_120,1,10.0,3,17.841347750985875
20,peak+area_60_120,1,100.0,1,19.372556343577994
21,peak+area_60_120,2,1.0,3,19.020027415064025
22,peak+area_60_120,2,10.0,3,17.71946408714207
23,peak+area_60_120,2,100.0,0,19.408591392557177
24,peak+area_centroid,1,1.0,3,18.921401583932944
25,peak+area_centroid,1,10.0,0,19.094151256099124
26,peak+area_centroid,1,100.0,1,19.932429514686856
27,peak+area_centroid,2,1.0,2,21.55314503470361
28,peak+area_centroid,2,10.0,4,20.35025042716706
29,peak+area_centroid,2,100.0,1,19.82262876217586
30,area_60_120+area_centroid,1,1.0,3,17.66784798926091
31,area_60_120+area_centroid,1,10.0,2,17.749517105380612
32,area_60_120+area_centroid,1,100.0,1,19.04588789381922
33,area_60_120+area_centroid,2,1.0,5,16.23022437741269
34,area_60_120+area_centroid,2,10.0,4,17.821439713647685
35,area_60_120+area_centroid,2,100.0,1,19.159349009833353
36,peak+area_60_120+area_centroid,1,1.0,2,17.34702837939578
37,peak+area_60_120+area_centroid,1,10.0,4,17.12488291069121
38,peak+area_60_120+area_centroid,1,100.0,1,18.80896284894202
39,peak+area_60_120+area_centroid,2,1.0,5,19.702305105944713
40,peak+area_60_120+area_centroid,2,10.0,3,18.1888183428734
41,peak+area_60_120+area_centroid,2,100.0,1,18.713267829158816
42,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,1.0,10,16.58771866409414
43,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,10.0,6,16.214428859374937
44,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,100.0,3,17.27483998464438
45,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,1.0,8,23.918589175097168
46,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,10.0,9,20.068772302083442
47,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,100.0,1,20.354377587835753
