pid,candidate,inner_hits,inner_mae
1,42,11,16.45779067162202
2,42,9,17.509326748237406
3,42,9,17.16494704313047
4,42,11,16.594216176189086
5,42,9,16.64196175366221
6,46,10,19.488315681466553
8,42,11,17.613020236484022
9,46,10,20.40933825114472
10,42,10,16.57597575759876
14,42,10,17.01068047576322
17,42,9,17.12233666815454
27,46,7,18.679548780826533
31,42,8,17.19198205410237
32,46,8,19.784551643233186
33,42,8,17.88441263522855
34,42,9,17.48943298231294
35,42,8,17.7863738169452
36,46,9,18.258209513540855
38,43,9,15.367902053114856
39,42,8,17.640539727047265
41,46,8,19.990637204951184
42,46,8,20.286116670505923
43,42,10,16.214906898906882
44,46,8,20.670235444644046
45,46,9,20.570620385893534
49,46,9,19.711848465013073
