pid,day,actual,oob_prediction,oob_voters
1,2020-05-02,220.0,257.42260857849095,74
1,2020-05-03,182.0,202.19949484527532,65
1,2020-05-04,210.0,240.3340381964359,79
1,2020-05-05,116.0,203.2149783991479,68
2,2019-11-16,231.0,223.75408542868718,72
2,2019-11-18,181.0,229.41491867965277,78
2,2019-11-19,132.0,213.82245338068432,67
2,2019-11-20,137.0,240.81080635051225,80
4,2023-09-12,426.0,231.86732362578428,77
4,2023-09-13,242.0,208.06605227343468,75
4,2023-09-14,401.0,229.43868990078545,60
4,2023-09-15,316.0,166.7245398590318,66
5,2020-08-18,199.0,258.09537421147587,59
5,2020-08-19,151.0,187.38331291665853,80
5,2020-08-20,211.0,245.50715885314372,76
5,2020-08-21,201.0,179.68021917340965,69
5,2020-08-22,271.0,205.99406349256222,72
6,2023-04-08,228.0,187.0528157998107,69
6,2023-04-09,158.0,201.4487847494681,85
6,2023-04-10,247.0,271.6274195238313,75
6,2023-04-11,193.0,201.55839611391085,74
6,2023-04-12,301.0,200.90869464964865,76
8,2023-01-31,326.0,274.1967534035452,76
8,2023-02-01,140.0,191.50319371830176,64
8,2023-02-02,246.0,257.1078319462086,78
8,2023-02-03,181.0,191.5707953181272,70
8,2023-02-04,166.0,189.27532893153813,81
9,2020-09-18,263.0,247.7557413289835,64
9,2020-09-19,155.0,201.5643406490184,68
9,2020-09-20,182.0,202.23572507826137,73
11,2020-10-04,245.0,221.8016227201837,70
11,2020-10-05,233.0,204.00441121030252,82
11,2020-10-06,192.0,260.24876526013895,79
11,2020-10-07,195.0,176.7988023700686,77
11,2020-10-08,280.0,201.25874031836315,69
12,2023-02-27,189.0,211.18813624438621,74
12,2023-02-28,179.0,187.81469404133878,76
12,2023-03-01,196.0,265.10082775692797,81
12,2023-03-02,110.0,189.4509574156003,70
13,2024-01-26,263.0,255.09148973826578,91
13,2024-01-27,136.0,180.48970144887798,75
13,2024-01-28,272.0,242.85076745892252,66
13,2024-01-29,175.0,185.51264709752616,62
13,2024-01-30,184.0,194.16029233300574,82
14,2023-05-10,228.0,189.42084635952287,65
14,2023-05-11,153.0,201.49566573132748,72
14,2023-05-12,243.0,251.20259218510856,54
15,2024-01-26,286.0,236.31778110338635,78
15,2024-01-27,163.0,189.2930377761773,86
15,2024-01-28,336.0,249.76818715622483,67
17,2023-10-11,206.0,228.94398149961867,72
17,2023-10-12,229.0,198.24975405945517,62
17,2023-10-13,287.0,259.4647996601851,87
17,2023-10-14,260.0,196.5233453263384,85
17,2023-10-15,192.0,227.5399770052671,73
26,2021-03-28,171.0,238.68679041426665,68
26,2021-03-29,296.0,263.08212745453744,67
26,2021-03-30,210.0,208.15552788354478,68
26,2021-03-31,167.0,204.04947610940255,72
27,2024-06-12,148.0,193.2607111063898,65
27,2024-06-13,296.0,282.883339463034,78
27,2024-06-14,120.0,202.51199829927057,71
41,2022-04-27,323.0,257.74554064002604,74
41,2022-04-28,151.0,182.7031764194273,79
