pid,day
1,2020-05-02
1,2020-05-03
1,2020-05-04
1,2020-05-05
2,2019-11-16
2,2019-11-18
2,2019-11-19
2,2019-11-20
4,2023-09-12
4,2023-09-13
4,2023-09-14
4,2023-09-15
5,2020-08-18
5,2020-08-19
5,2020-08-20
5,2020-08-21
5,2020-08-22
6,2023-04-08
6,2023-04-09
6,2023-04-10
6,2023-04-11
6,2023-04-12
8,2023-01-31
8,2023-02-01
8,2023-02-02
8,2023-02-03
8,2023-02-04
9,2020-09-18
9,2020-09-19
9,2020-09-20
11,2020-10-04
11,2020-10-05
11,2020-10-06
11,2020-10-07
11,2020-10-08
12,2023-02-27
12,2023-02-28
12,2023-03-01
12,2023-03-02
13,2024-01-26
13,2024-01-27
13,2024-01-28
13,2024-01-29
13,2024-01-30
14,2023-05-10
14,2023-05-11
14,2023-05-12
15,2024-01-26
15,2024-01-27
15,2024-01-28
17,2023-10-11
17,2023-10-12
17,2023-10-13
17,2023-10-14
17,2023-10-15
26,2021-03-28
26,2021-03-29
26,2021-03-30
26,2021-03-31
27,2024-06-12
27,2024-06-13
27,2024-06-14
41,2022-04-27
41,2022-04-28
