fold,role,pid,day
2,fit,1,2020-05-02
2,fit,2,2019-11-16
2,fit,4,2023-09-12
2,fit,5,2020-08-18
2,fit,6,2023-04-08
2,fit,8,2023-01-31
2,fit,9,2020-09-18
2,fit,11,2020-10-04
2,fit,12,2023-02-27
2,fit,13,2024-01-26
2,fit,14,2023-05-10
2,fit,15,2024-01-26
2,fit,17,2023-10-11
2,fit,26,2021-03-28
2,fit,27,2024-06-12
2,fit,41,2022-04-27
2,fit,41,2022-04-28
2,validate,1,2020-05-04
2,validate,2,2019-11-19
2,validate,4,2023-09-14
2,validate,5,2020-08-20
2,validate,6,2023-04-10
2,validate,8,2023-02-02
2,validate,9,2020-09-20
2,validate,11,2020-10-06
2,validate,12,2023-03-01
2,validate,13,2024-01-28
2,validate,14,2023-05-12
2,validate,15,2024-01-28
2,validate,17,2023-10-13
2,validate,26,2021-03-30
2,validate,27,2024-06-14
2,validate,41,2022-05-03
3,fit,1,2020-05-02
3,fit,1,2020-05-03
3,fit,2,2019-11-16
3,fit,2,2019-11-18
3,fit,4,2023-09-12
3,fit,4,2023-09-13
3,fit,5,2020-08-18
3,fit,5,2020-08-19
3,fit,6,2023-04-08
3,fit,6,2023-04-09
3,fit,8,2023-01-31
3,fit,8,2023-02-01
3,fit,11,2020-10-04
3,fit,11,2020-10-05
3,fit,12,2023-02-27
3,fit,12,2023-02-28
3,fit,13,2024-01-26
3,fit,13,2024-01-27
3,fit,14,2023-05-10
3,fit,14,2023-05-11
3,fit,17,2023-10-11
3,fit,17,2023-10-12
3,fit,26,2021-03-28
3,fit,26,2021-03-29
3,fit,27,2024-06-12
3,fit,27,2024-06-13
3,fit,27,2024-06-14
3,validate,1,2020-05-05
3,validate,2,2019-11-20
3,validate,4,2023-09-15
3,validate,5,2020-08-21
3,validate,6,2023-04-11
3,validate,8,2023-02-03
3,validate,11,2020-10-07
3,validate,12,2023-03-02
3,validate,13,2024-01-29
3,validate,14,2023-05-13
3,validate,17,2023-10-14
3,validate,26,2021-03-31
3,validate,27,2024-06-16
