candidate,weight
baseline|baseline|0.0,0.0
glucose|kernel|0.1,0.25
glucose|kernel|1.0,0.25
glucose|kernel|10.0,0.25
glucose|kernel|100.0,0.0
glucose|kernel|1000.0,0.0
glucose|ridge|0.1,0.0
glucose|ridge|1.0,0.0
glucose|ridge|10.0,0.0
glucose|ridge|100.0,0.0
glucose|ridge|1000.0,0.0
sequence|kernel|0.1,0.0
sequence|kernel|1.0,0.0
sequence|kernel|10.0,0.0
sequence|kernel|100.0,0.0
sequence|kernel|1000.0,0.0
sequence|ridge|0.1,0.08177980501029247
sequence|ridge|1.0,0.0
sequence|ridge|10.0,0.0
sequence|ridge|100.0,0.0
sequence|ridge|1000.0,0.0
summary|kernel|0.1,0.16822019498970753
summary|kernel|1.0,0.0
summary|kernel|10.0,0.0
summary|kernel|100.0,0.0
summary|kernel|1000.0,0.0
summary|ridge|0.1,0.0
summary|ridge|1.0,0.0
summary|ridge|10.0,0.0
summary|ridge|100.0,0.0
summary|ridge|1000.0,0.0
