run,training_hits,n,hits,mape,mae,max_ape
0,64,44,15,22.53949420161173,48.481263742385345,78.91767024937687
1,64,44,14,22.312655872454364,42.68148981343288,77.53264200805312
2,64,44,13,25.511544381121976,49.8118915987013,89.5152385600125
3,64,44,13,25.297912415671448,51.811615905453024,92.07209881822708
4,64,44,15,21.457598571484322,45.83514776861657,96.54503249313225
5,64,44,12,24.560505854135545,49.57018914433694,80.80221874033826
6,64,44,10,29.008016433698497,57.07681501444672,118.92601041227336
7,64,44,15,23.66181034023212,45.483273850081794,118.92601041227336
8,64,44,12,24.018445326610642,50.65782631861128,96.69364190476401
9,64,44,11,25.31410832024457,49.58458949272509,85.5765111263147
10,64,44,17,23.359685290398783,49.424582375426965,99.2924693506565
11,64,44,15,23.22402097095283,46.08876334022943,93.47339300721003
12,64,44,13,25.845408688603115,51.70066795914175,89.5152385600125
13,64,44,12,26.575090594325406,52.578682082794494,92.07209881822708
14,64,44,13,24.73742724103489,49.74100269058557,92.07209881822708
15,64,44,12,23.408186876662214,46.120875078961085,83.6250619478327
16,64,44,14,27.23496626250649,50.81119950455875,94.92233477061612
17,64,44,11,26.245979851492635,52.61419639298108,95.22189280759761
18,64,44,12,27.62262332290221,54.623743274057624,93.62434163255978
19,64,44,15,23.02336979832213,44.868528870320795,87.09365593148306
20,64,44,10,26.408282178618926,51.99932579369087,89.5152385600125
21,64,44,15,19.82025396901263,41.198995638132665,60.01474861994688
22,64,44,10,29.133598323593656,55.868319258009436,130.40798730141
23,64,44,15,24.70997056335324,49.229077932992,92.91374767933114
24,64,44,14,24.732034114339292,47.54422712427333,120.9535543154399
25,64,44,14,22.371206346884083,44.10508406807869,83.6250619478327
26,64,44,11,29.995895565833003,59.84251809985081,89.5152385600125
27,64,44,18,22.73091356518471,47.34643186890083,96.69364190476401
28,64,44,12,27.11249150837555,53.91871244111665,85.5765111263147
29,64,44,16,25.53800241589678,53.936679769883604,80.39301237293958
30,64,44,11,23.27736680893036,46.65762513469167,73.23774585777875
31,64,44,13,23.054787833083488,47.18000412646611,76.248701975794
32,64,44,13,26.481443128885918,52.80372849244247,67.2010383700469
33,64,44,11,28.61802116801285,54.07498006492524,109.44612945745449
34,64,44,17,23.344254003813695,48.51495038914283,67.2010383700469
35,64,44,10,32.36037657526633,62.697695382776665,133.5126269374428
36,64,44,15,24.134421837874626,44.49513338877799,123.53000187517567
37,64,44,13,24.765576074703095,47.53332332714862,96.54503249313225
38,64,44,13,25.962724039641156,50.008346529545676,128.2208744545147
39,64,44,11,25.498618218670593,52.308465039527704,86.43556194224684
40,64,44,14,25.753009966638345,47.329160170691765,113.12676882850576
41,64,44,9,26.986358407290133,51.62855385380701,123.53000187517567
42,64,44,15,22.956213227271324,45.644596476478064,95.22189280759761
43,64,44,15,25.107047170546714,48.78644031578688,96.54503249313225
44,64,44,10,29.017234807984376,56.035235197990396,85.5765111263147
45,64,44,16,26.590026284614222,52.4778869545081,114.73963521980804
46,64,44,13,25.511134924143793,49.67910136627833,112.14113473764844
47,64,44,17,22.002920102666835,42.019341852279176,92.07209881822708
48,64,44,10,26.659361668585845,52.79566130017096,92.07209881822708
49,64,44,16,23.934639793413172,48.83325886558251,79.61805539658212
50,64,44,13,24.822187620567217,52.32929909043878,93.47339300721003
51,64,44,11,25.271019303264787,50.37188754826118,130.40798730141
52,64,44,16,24.35714061122747,48.65793623584407,96.54503249313225
53,64,44,14,24.759978690368616,51.43572333997254,88.58023269072565
54,64,44,10,26.248171197094216,51.82501599956781,96.69364190476401
55,64,44,13,22.47752293487654,46.43881457156644,68.87197811275291
56,64,44,10,25.49567318269749,50.976227933459064,118.92601041227336
57,64,44,11,22.762207609701637,44.30350129654339,118.92601041227336
58,64,44,7,33.253346352840005,65.27627207229553,119.603296123103
59,64,44,7,29.7849239441137,62.43364489680359,92.07209881822708
60,64,44,11,24.874197140848413,48.466364034142046,67.2010383700469
61,64,44,17,22.202829443293684,43.96539605515694,89.5152385600125
62,64,44,12,23.877565199027593,45.19220312156789,120.9535543154399
63,64,44,17,22.792548353095473,44.40432730545803,92.07209881822708
64,64,44,10,27.564531548264625,54.96469733674828,109.44612945745449
65,64,44,10,25.061320184805474,48.89576603341543,73.07274834960472
66,64,44,10,26.358775492627107,53.77622199047168,92.07209881822708
67,64,44,11,24.550704560741696,50.805699528276115,67.87189531539155
68,64,44,15,22.339363713064692,45.63778706639946,67.2010383700469
69,64,44,15,25.281026496687627,50.290649479874794,92.07209881822708
70,64,44,11,26.1568960705048,52.78211910359288,121.03486877022829
71,64,44,10,26.675187992262277,53.86280481577141,120.9535543154399
72,64,44,14,25.250944738824256,49.30042667909054,93.62434163255978
73,64,44,13,28.082668982721316,52.63256821159203,142.17318240803093
74,64,44,13,24.26552933767819,49.4521361963904,128.08564252041964
75,64,44,11,26.97623586588286,53.60241591720426,67.99964629276315
76,64,44,17,21.642518434252544,43.064143291224575,71.68475684672137
77,64,44,15,21.86122204666183,46.265603196763955,63.72058287563627
78,64,44,14,23.86119233038184,50.73927388690154,60.905957917468015
79,64,44,13,25.24261931050733,54.34384290194814,85.5765111263147
80,64,44,13,24.74839018811947,48.89476250356475,77.24539559772916
81,64,44,12,28.32996757680379,55.812968071386216,123.53000187517567
82,64,44,12,24.288275329810684,47.87785015493704,118.92601041227336
83,64,44,12,24.233003403531328,49.4062586103104,95.22189280759761
84,64,44,13,27.641259656897272,54.971624900623176,92.07209881822708
