arm,method,pid,n,offset,ratio
reference,additive,1,24,1.2379328819414628,1.032573611349379
reference,additive,2,23,-9.56694427166999,0.8172236979129777
reference,additive,4,28,19.31512375983689,1.4569305903693035
reference,additive,5,28,1.0266164305314631,1.0224025990679135
reference,additive,6,22,9.044000001819306,1.1759514402470683
reference,additive,8,19,12.554695053938284,1.2339336791278908
reference,additive,9,28,-2.6519283637220625,0.9467527657907627
reference,additive,11,25,12.329219604890023,1.2636423896717988
reference,additive,12,20,1.0032670071623613,1.0200469305493403
reference,additive,13,24,7.203516558215334,1.147625898492218
reference,additive,14,16,3.1940729038872435,1.065863584024937
reference,additive,15,21,9.249056615964601,1.235280942420168
reference,additive,17,32,7.615835992234727,1.207725732531728
reference,additive,26,25,3.4911248238265427,1.0692537154189787
reference,additive,27,19,15.416996079074373,1.3240326186628044
reference,additive,41,27,-6.263009201019816,0.880359913003964
reference,ratio,1,24,1.2379328819414628,1.032573611349379
reference,ratio,2,23,-9.56694427166999,0.8172236979129777
reference,ratio,4,28,19.31512375983689,1.4569305903693035
reference,ratio,5,28,1.0266164305314631,1.0224025990679135
reference,ratio,6,22,9.044000001819306,1.1759514402470683
reference,ratio,8,19,12.554695053938284,1.2339336791278908
reference,ratio,9,28,-2.6519283637220625,0.9467527657907627
reference,ratio,11,25,12.329219604890023,1.2636423896717988
reference,ratio,12,20,1.0032670071623613,1.0200469305493403
reference,ratio,13,24,7.203516558215334,1.147625898492218
reference,ratio,14,16,3.1940729038872435,1.065863584024937
reference,ratio,15,21,9.249056615964601,1.235280942420168
reference,ratio,17,32,7.615835992234727,1.207725732531728
reference,ratio,26,25,3.4911248238265427,1.0692537154189787
reference,ratio,27,19,15.416996079074373,1.3240326186628044
reference,ratio,41,27,-6.263009201019816,0.880359913003964
plus_hr_activity,additive,1,24,2.1448791663921623,1.0581137806745082
plus_hr_activity,additive,2,23,-5.709154948772885,0.8801753850384734
plus_hr_activity,additive,4,28,21.21560854820924,1.5299714804424156
plus_hr_activity,additive,5,28,2.1982480222505756,1.049460049081594
plus_hr_activity,additive,6,22,8.408061654331977,1.1611325807915331
plus_hr_activity,additive,8,19,11.94346808795379,1.2193884171831775
plus_hr_activity,additive,9,28,-1.1990874767669608,0.9750666863411567
plus_hr_activity,additive,11,25,11.698421446554844,1.2461690895891726
plus_hr_activity,additive,12,20,-0.22982728050359413,0.9955448850523846
plus_hr_activity,additive,13,24,8.604055972483042,1.1826630362204154
plus_hr_activity,additive,14,16,2.4615235344552495,1.0497712347957857
plus_hr_activity,additive,15,21,10.29791742051179,1.270911546937043
plus_hr_activity,additive,17,32,7.5090292585852625,1.2041249519004515
plus_hr_activity,additive,26,25,5.284191334729345,1.1094965618021717
plus_hr_activity,additive,27,19,13.54790152892553,1.271286326068075
plus_hr_activity,additive,41,27,-4.876763620556394,0.9038223594686794
plus_hr_activity,ratio,1,24,2.1448791663921623,1.0581137806745082
plus_hr_activity,ratio,2,23,-5.709154948772885,0.8801753850384734
plus_hr_activity,ratio,4,28,21.21560854820924,1.5299714804424156
plus_hr_activity,ratio,5,28,2.1982480222505756,1.049460049081594
plus_hr_activity,ratio,6,22,8.408061654331977,1.1611325807915331
plus_hr_activity,ratio,8,19,11.94346808795379,1.2193884171831775
plus_hr_activity,ratio,9,28,-1.1990874767669608,0.9750666863411567
plus_hr_activity,ratio,11,25,11.698421446554844,1.2461690895891726
plus_hr_activity,ratio,12,20,-0.22982728050359413,0.9955448850523846
plus_hr_activity,ratio,13,24,8.604055972483042,1.1826630362204154
plus_hr_activity,ratio,14,16,2.4615235344552495,1.0497712347957857
plus_hr_activity,ratio,15,21,10.29791742051179,1.270911546937043
plus_hr_activity,ratio,17,32,7.5090292585852625,1.2041249519004515
plus_hr_activity,ratio,26,25,5.284191334729345,1.1094965618021717
plus_hr_activity,ratio,27,19,13.54790152892553,1.271286326068075
plus_hr_activity,ratio,41,27,-4.876763620556394,0.9038223594686794
