pid,lag_minutes,median_calibration_correlation
1,-120,-0.029229519060481986
1,-105,0.03931769410793079
1,-90,0.12459068644762288
1,-75,0.26418739574571554
1,-60,0.3223946875324301
1,-45,0.3601825561917663
1,-30,0.45105214024211304
1,-15,0.6725316537436042
1,0,0.7074815493738226
1,15,0.4609093247866002
1,30,0.2310792684646293
1,45,0.1262516501414443
1,60,0.06826537748285458
1,75,-0.017834649708175155
1,90,-0.08940259174564662
1,105,-0.12690806646077304
1,120,-0.17118755350126919
2,-120,0.013035822932851882
2,-105,0.05831917890680706
2,-90,0.13579163807624187
2,-75,0.2259275308006954
2,-60,0.3269442110988431
2,-45,0.4678509000824452
2,-30,0.6410704215558911
2,-15,0.7975875555903611
2,0,0.8631718613859416
2,15,0.798414701178234
2,30,0.6683293351956502
2,45,0.5354463932186311
2,60,0.4011089355286275
2,75,0.2588541633070307
2,90,0.11731679598877028
2,105,-0.012305439748307313
2,120,-0.08837757370886794
4,-120,-0.13534471794772826
4,-105,-0.0777226857832247
4,-90,0.03450712958826385
4,-75,0.20024611442135398
4,-60,0.3857721615983565
4,-45,0.5348113733628547
4,-30,0.6714012900478483
4,-15,0.7923920842823683
4,0,0.7653386081980642
4,15,0.5774594407243865
4,30,0.3052769395753087
4,45,0.08017168337490838
4,60,-0.03366998735323044
4,75,-0.09915417980868475
4,90,-0.14810534648856388
4,105,-0.17806784763656217
4,120,-0.16871550482457412
5,-120,0.005697810293666411
5,-105,0.07866845777581603
5,-90,0.22635899744938376
5,-75,0.3608930852497349
5,-60,0.49911148222948304
5,-45,0.6570524490903009
5,-30,0.7275983452931007
5,-15,0.7734072182787634
5,0,0.800521465301786
5,15,0.7566955791626567
5,30,0.6141826675352415
5,45,0.4266514195856284
5,60,0.3383357553361263
5,75,0.20044529496001648
5,90,0.0747320649859025
5,105,-0.02744677782255716
5,120,-0.03833841493630465
6,-120,0.22970839006767688
6,-105,0.25832886591550125
6,-90,0.29658909074710366
6,-75,0.33686953307620515
6,-60,0.3748940490718794
6,-45,0.40696276227318995
6,-30,0.4421649146400732
6,-15,0.4928720321101519
6,0,0.4673290996287158
6,15,0.4806609239741366
6,30,0.5454557767033169
6,45,0.5442132007425053
6,60,0.42793487386738
6,75,0.25195919009357576
6,90,0.19221135145129187
6,105,0.1759361656204757
6,120,0.17301741005849997
8,-120,-0.12387804933477448
8,-105,-0.13640303446376345
8,-90,-0.09204687621768141
8,-75,-0.008176139147426459
8,-60,0.04010641928122199
8,-45,0.06604770134943755
8,-30,0.12253731234140201
8,-15,0.289763513056879
8,0,0.46368111066163625
8,15,0.6235727721710344
8,30,0.7688921632383678
8,45,0.8715374339461912
8,60,0.8676418689466168
8,75,0.8355007444505534
8,90,0.7156906452583188
8,105,0.5887541147927919
8,120,0.4532037081474141
9,-120,0.7307746287607277
9,-105,0.8165472824702196
9,-90,0.8850764859574345
9,-75,0.9244134191386668
9,-60,0.9081229749185378
9,-45,0.8301292870813277
9,-30,0.7235550778676871
9,-15,0.6117769745149614
9,0,0.4962395041713039
9,15,0.3876234159345861
9,30,0.2979827344088024
9,45,0.2257982897776331
9,60,0.1715535246964419
9,75,0.13705587345517425
9,90,0.12807151647378356
9,105,0.13741940123414373
9,120,0.16476296185306538
11,-120,-0.027965436402443776
11,-105,0.017015830872666126
11,-90,0.13513334780689493
11,-75,0.24401161742783886
11,-60,0.3357161162436958
11,-45,0.47405387838771734
11,-30,0.6882774982762038
11,-15,0.8708296494843789
11,0,0.8707821062552672
11,15,0.6805973663795359
11,30,0.4755869239978661
11,45,0.3388912997896402
11,60,0.2705524929080186
11,75,0.22772896128394457
11,90,0.1599968758108153
11,105,0.10522808448706178
11,120,0.05010119564892628
12,-120,0.26898572527153564
12,-105,0.3400011392348138
12,-90,0.43194173770518896
12,-75,0.5398130555032403
12,-60,0.6538056449829242
12,-45,0.7756091538953664
12,-30,0.8829433204740846
12,-15,0.9388020847122882
12,0,0.9087647481624749
12,15,0.8088361154565473
12,30,0.6765153571170448
12,45,0.5459278605191111
12,60,0.43307008520327867
12,75,0.3468154417116268
12,90,0.28421614785575067
12,105,0.19847941049130674
12,120,0.15506645155299462
13,-120,0.36717945165489374
13,-105,0.44501092741402604
13,-90,0.5695286223635888
13,-75,0.7088060831810469
13,-60,0.7488750549871966
13,-45,0.6128417395461861
13,-30,0.3646720401795884
13,-15,0.17192511101235286
13,0,0.12351803537080318
13,15,0.16132286512830862
13,30,0.21932636542139367
13,45,0.21618118219080965
13,60,0.14352259716424298
13,75,0.04302326453808292
13,90,-0.03389237610177207
13,105,-0.009943407025568706
13,120,0.13114166747491182
14,-120,0.0005679122710744562
14,-105,0.09539016505945232
14,-90,0.21270863422128522
14,-75,0.336891794846715
14,-60,0.46545366136877975
14,-45,0.5854352359511563
14,-30,0.7195253674480259
14,-15,0.8233071655658531
14,0,0.8537375681128861
14,15,0.790227247453671
14,30,0.6843882285676715
14,45,0.5635971066550857
14,60,0.4303993738453563
14,75,0.3048412700465462
14,90,0.20159962733029688
14,105,0.10821149080760845
14,120,0.02980041157259105
15,-120,0.1537034263766455
15,-105,0.16265463548988962
15,-90,0.15256949967091452
15,-75,0.10480736727699899
15,-60,0.09779523069418955
15,-45,0.1662947057484306
15,-30,0.30310494551433603
15,-15,0.4908586586594032
15,0,0.458784099507352
15,15,0.32335424265764284
15,30,0.1746630975794464
15,45,0.0735880894322412
15,60,0.026957754123744043
15,75,-0.011433089922643039
15,90,-0.08173909586686506
15,105,-0.16257325304390327
15,120,-0.21418289952008257
17,-120,0.12908516486653973
17,-105,0.17408805113905979
17,-90,0.20454736535917561
17,-75,0.2940400149176284
17,-60,0.3175749208986663
17,-45,0.4267916111579908
17,-30,0.5571969670192538
17,-15,0.6717250887429786
17,0,0.7026543027675669
17,15,0.6238100054738891
17,30,0.5342070614049811
17,45,0.4707227448078291
17,60,0.37448752339846075
17,75,0.23852115698523343
17,90,0.20668218450581746
17,105,0.13449929552548393
17,120,0.06515038949082463
26,-120,-0.012918235337770631
26,-105,0.12263524433647244
26,-90,0.20146139475323327
26,-75,0.22430341386282546
26,-60,0.251564842397039
26,-45,0.3675311280983674
26,-30,0.6047580245417684
26,-15,0.8635788202992373
26,0,0.9081540478762912
26,15,0.6843364580494399
26,30,0.4044085205145931
26,45,0.23530373125000584
26,60,0.17001192791731531
26,75,0.15627783464174833
26,90,0.1337181654182614
26,105,0.0373904591648119
26,120,0.022647104908894645
27,-120,0.3088547284696104
27,-105,0.39686560259993564
27,-90,0.4952681613253419
27,-75,0.5809084218858148
27,-60,0.5827086193027863
27,-45,0.5753837696921016
27,-30,0.5920562172594251
27,-15,0.6523501059260672
27,0,0.6776468539875038
27,15,0.6589466332253471
27,30,0.6253853222465674
27,45,0.5809829873514107
27,60,0.5325978714572187
27,75,0.4785188322528344
27,90,0.40591348630891544
27,105,0.31332077087017424
27,120,0.2417050879111235
41,-120,0.13270913261745515
41,-105,0.24906788503088897
41,-90,0.3782115583585612
41,-75,0.5114165104466636
41,-60,0.6414828854491588
41,-45,0.7643690641382267
41,-30,0.8720061020571668
41,-15,0.9469638652028258
41,0,0.9672715178474919
41,15,0.9217633280200299
41,30,0.8242855650256934
41,45,0.6983113135414446
41,60,0.5591773695148821
41,75,0.4152898127290958
41,90,0.27210610717568406
41,105,0.13750443550112756
41,120,0.018115178983357134
