group,iteration,n,hits,mape,mae
glucose,0,44,16,18.9629436311605,38.35277876869174
glucose,1,44,17,23.715316173332475,43.82982058327756
glucose,2,44,10,23.74642290842728,44.75792652134683
glucose,3,44,13,22.11616162243142,44.77984514674102
glucose,4,44,13,20.706068059245787,41.52817542708963
glucose,5,44,16,21.668668880104367,40.47394558636877
glucose,6,44,16,19.1399251208605,36.91654301971305
glucose,7,44,16,20.83625669222907,40.83457632330654
glucose,8,44,14,19.769975586823783,39.26323981874073
glucose,9,44,15,21.75602944964474,40.72449912466835
glucose,10,44,14,22.143329735978483,42.1283882836873
glucose,11,44,13,20.8029872917142,40.233547341108455
glucose,12,44,14,21.787764277727682,41.62788996368276
glucose,13,44,15,23.9972888839269,44.087663560589164
glucose,14,44,13,21.108993097047737,41.770674015298304
glucose,15,44,17,19.569886651729142,38.25509084673099
glucose,16,44,14,19.9708847774172,39.51318311106141
glucose,17,44,15,20.693458885185205,40.485378855599144
glucose,18,44,15,23.12419300921908,43.53719145119969
glucose,19,44,12,20.602244869678486,40.56090144388002
glucose,20,44,11,22.939336780206013,43.816946188928995
glucose,21,44,20,19.084700668756703,37.71058872448963
glucose,22,44,14,19.15924824229765,38.756123762447174
glucose,23,44,13,22.521343092345976,42.6129429004703
glucose,24,44,13,20.53237201365781,40.575294925880854
glucose,25,44,12,22.74658641718809,43.57916634445949
glucose,26,44,10,24.480822285934707,47.70806646006326
glucose,27,44,10,23.990308489620986,45.92021024258519
glucose,28,44,12,20.40672659339598,40.605413964090424
glucose,29,44,17,20.043835549865232,39.743016565600506
glucose,30,44,11,22.717933166337357,44.79811314842743
glucose,31,44,13,22.33650241847456,42.40061491215251
glucose,32,44,14,20.10713865939186,38.17784044431525
glucose,33,44,13,21.828465036422937,42.194270266109875
glucose,34,44,13,22.89693056531418,44.69835570281866
glucose,35,44,16,21.291831638471876,40.94886289054323
glucose,36,44,16,20.669553753306662,40.42497005100535
glucose,37,44,15,21.245144283639508,41.24356986581088
glucose,38,44,12,22.411804200103845,43.06035342064565
glucose,39,44,15,22.269745237062413,41.116429546434354
glucose,40,44,20,19.222560773665595,38.35469746230286
glucose,41,44,16,21.24037012620419,40.787423127957545
glucose,42,44,13,20.66200699341609,38.61592486619174
glucose,43,44,10,22.903870573894167,46.29089691499008
glucose,44,44,16,22.057710146491,40.88874185707712
glucose,45,44,14,20.72029503827821,41.597624552205595
glucose,46,44,16,22.400246177349352,40.915287091727144
glucose,47,44,13,20.665927060905194,40.435160586356226
glucose,48,44,13,21.267470751780877,40.53265050248934
glucose,49,44,16,20.883738580229245,39.99908022306993
glucose,50,44,16,21.72942740071079,42.33942492195087
glucose,51,44,20,19.749403052111305,38.891053120879654
glucose,52,44,14,21.71878704581295,40.67324020662226
glucose,53,44,12,21.837636463394674,42.81347067401423
glucose,54,44,16,21.92392379554733,42.58530988202992
glucose,55,44,15,20.71238886293081,41.09610699657019
glucose,56,44,20,21.282394639429388,40.10647259112729
glucose,57,44,15,19.07453309073028,37.84538414052792
glucose,58,44,15,20.21522595804977,40.51078562259881
glucose,59,44,11,21.027035318564245,41.75984633606754
glucose,60,44,14,19.83895201726555,39.46840153754993
glucose,61,44,17,22.223167254657312,40.87127610733451
glucose,62,44,10,20.652362331374885,40.93173802029082
glucose,63,44,11,22.695123282220244,44.12352592231079
glucose,64,44,12,23.455159265988133,43.53950057675689
glucose,65,44,13,21.379397798833054,40.36729257817987
glucose,66,44,10,23.073606557875994,44.824841664666174
glucose,67,44,15,22.503097661727114,42.86238436039571
glucose,68,44,14,22.457505221056415,42.35970958393899
glucose,69,44,19,21.54970717981932,40.57841395006112
glucose,70,44,16,20.79193989354167,40.41453934674568
glucose,71,44,9,24.95272531454865,48.925489367249114
glucose,72,44,15,20.32922977609125,41.17076181670968
glucose,73,44,12,21.315932984581288,42.388895896829574
glucose,74,44,12,23.349264356501862,44.1723426446082
glucose,75,44,14,21.111603269828493,40.12634075342157
glucose,76,44,13,20.519150174308773,39.59951952192596
glucose,77,44,13,20.084900155288405,38.900354262828735
glucose,78,44,19,20.75505657048553,38.63558874802607
glucose,79,44,12,21.830500775253057,41.622263670096636
glucose,80,44,11,20.358747217672292,40.716044762847325
glucose,81,44,15,20.699565106814813,39.33318977125003
glucose,82,44,16,20.74718866521985,40.06143292246336
glucose,83,44,19,22.133743476393047,41.23152796792769
glucose,84,44,16,21.400814410856224,38.71222309589553
glucose,85,44,14,22.88761099715414,43.68063748793138
glucose,86,44,10,21.866050033288047,43.546291579965434
glucose,87,44,18,19.132074548139155,38.97728556971225
glucose,88,44,15,20.98829849995222,39.94963020477454
glucose,89,44,13,23.065857539757957,46.30070098736984
glucose,90,44,14,21.58581114176717,41.4094919597567
glucose,91,44,16,20.817889557798186,41.516378830829275
glucose,92,44,8,24.02503643240508,45.58284199463669
glucose,93,44,13,20.924581230404016,42.38601657187933
glucose,94,44,15,19.449738784791286,38.14782604440119
glucose,95,44,15,20.534792686630777,38.812257958936215
glucose,96,44,12,20.925601049813828,39.88497584974703
glucose,97,44,12,22.694201034658885,43.98367297595452
glucose,98,44,13,20.292521413397775,38.01338297898292
glucose,99,44,13,21.648405787196616,40.65398742231201
