iteration,n,hits,mape,mae
0,44,14,20.21850281767403,41.05945659410038
1,44,17,24.049760085614846,44.05339304059107
2,44,12,23.850064677200706,45.2615346785519
3,44,8,24.36585369395747,47.9557329259821
4,44,13,20.79979607257372,41.240775473041
5,44,13,21.196638507173983,39.49290580979018
6,44,13,19.697374693152618,38.18010879685102
7,44,11,21.94690152581589,42.98099533941353
8,44,14,19.6732285106903,39.2496668470466
9,44,10,22.71296096749786,43.28585964097063
10,44,13,22.984979895208166,43.858716239148706
11,44,13,21.155497250775543,40.79830223251832
12,44,18,22.60104658807764,42.5565659061948
13,44,12,24.412655092974276,44.919134606262624
14,44,12,23.646956613373053,45.87713607219721
15,44,17,20.819936045530074,40.123908366275664
16,44,15,20.41511161887328,40.293045215379706
17,44,15,20.66130000585374,40.343490002072535
18,44,16,23.198904373935108,43.161067224764885
19,44,13,21.33672813232454,41.665174130102734
20,44,13,23.764927345965532,44.52895081792394
21,44,21,20.370302093382513,39.397931224869325
22,44,16,18.360573796744468,37.11435969198494
23,44,10,23.657818622525426,44.74407361155004
24,44,14,21.10188249995503,41.5720421602482
25,44,10,24.22440405328033,46.745177034210876
26,44,10,24.31666234929998,47.77617448434112
27,44,6,25.20383397869525,48.379693841295904
28,44,13,20.53704446419151,40.56985474222277
29,44,18,20.16713750349803,40.465694489540994
30,44,8,23.538820970541995,46.18649191489505
31,44,15,22.52551628794316,42.91386643187644
32,44,14,21.054150932258604,39.39314618381257
33,44,10,22.348258469962186,43.037847827923535
34,44,10,23.406268138854045,45.44593945643891
35,44,15,22.22520532739415,42.734190567099205
36,44,13,22.073017759936644,42.51551474705851
37,44,17,20.893886240059967,41.06314976523796
38,44,11,21.540505019210997,41.4064271460961
39,44,17,21.645821207937804,40.54701412225553
40,44,17,20.529555261570835,40.768039887368474
41,44,15,22.246138722921398,42.34533953111981
42,44,12,22.546271948936393,41.52536316923954
43,44,12,22.225454652398568,44.719171889990385
44,44,15,22.324332607783752,40.86437603717053
45,44,17,21.413008778863205,42.66116664409516
46,44,16,21.87693802631971,40.26184336316391
47,44,12,22.55027790678234,43.68173988480109
48,44,13,22.45792277109241,42.809378382340725
49,44,16,19.534237107641115,38.76568575202512
50,44,14,21.751667331462723,42.299827206240586
51,44,16,19.72265950386222,38.34694220842817
52,44,14,24.74220102281573,45.17329550611325
53,44,14,22.610601285469624,43.09263769436963
54,44,13,22.02703131513841,42.65776848881678
55,44,17,20.819736108981992,41.40638221981681
56,44,13,23.955083476933243,45.001254534954775
57,44,17,20.44430766860166,40.03504787703298
58,44,19,18.86605776040606,37.796133810625946
59,44,15,20.35115761733173,41.01462760310906
60,44,10,20.049544345052965,40.1382627032475
61,44,18,22.281881395421337,40.42437007388947
62,44,13,19.893814325498436,39.60976819904924
63,44,10,22.560608209179435,44.03498044014226
64,44,10,23.48393681990042,43.39796585233099
65,44,15,22.29069844867686,41.860135396429854
66,44,12,22.393083850971607,43.65659911262893
67,44,13,23.2944491998292,44.06807782582552
68,44,13,23.168304780830855,43.73478863054668
69,44,17,20.958756259895058,40.057436093947786
70,44,15,21.09206439945246,40.49217625042496
71,44,14,23.63981895801979,46.65613061053568
72,44,13,20.41151668606157,41.243910566974236
73,44,11,21.61164888165331,43.160159635985934
74,44,12,23.042661282391393,43.26839647542652
75,44,15,22.0167010894485,41.40290923845328
76,44,14,21.287638663410437,41.24259479465521
77,44,13,21.102172879798932,41.475524389883404
78,44,18,20.354916406883063,37.95938983551574
79,44,18,20.720394657227896,39.55685009431519
80,44,11,20.79601341976361,41.23877435527281
81,44,15,21.527935346063458,40.473807236739546
82,44,16,21.43941006034926,40.7555426559654
83,44,13,23.082296370460043,42.32725040196056
84,44,19,20.949367086142054,38.06799224643552
85,44,11,23.544444543100944,45.07010355923941
86,44,10,23.223538164412663,45.68888160695024
87,44,18,19.21110679796156,39.55338752339796
88,44,15,21.950094088081997,42.392349300968085
89,44,12,23.73579727876651,48.041671185715956
90,44,12,21.408976988368465,41.85720857725422
91,44,12,22.79241172571706,44.77849053720366
92,44,6,23.35962149150756,45.07773915593279
93,44,15,21.71304663299189,43.401290867798714
94,44,11,20.264201184636235,40.19167331243673
95,44,14,21.63002231403014,40.01271498006672
96,44,13,21.421984795284217,40.311219597381395
97,44,13,21.979894327977323,42.698635622316786
98,44,11,21.43649353262519,40.15155648007194
99,44,17,21.459362529901565,40.23720469624627
