pid,split,status,query_meals
1,train,included,14
2,train,included,12
3,train,included,12
4,train,included,16
5,train,included,16
6,train,included,16
8,train,included,15
9,train,included,14
10,train,included,15
14,train,included,15
17,train,included,14
27,train,included,13
31,train,included,13
32,train,included,5
33,train,included,12
34,train,included,8
35,train,included,9
36,train,included,11
38,train,included,11
39,train,included,9
41,train,included,16
42,train,included,4
43,train,included,18
44,train,included,11
45,train,included,10
49,train,included,9
