candidate,features,degree,alpha,hits,MAE
0,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,1.0,10,16.58771866409415
1,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,10.0,6,16.21442885937494
2,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,1,100.0,3,17.27483998464438
3,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,1.0,8,23.918589175097203
4,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,10.0,9,20.068772302083442
5,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction,2,100.0,1,20.354377587835753
6,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction+onset+aligned_area_60+aligned_area_120+aligned_observed_minutes+end_change+end_slope+negative_area+total_area,1,1.0,10,18.790999075667234
7,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction+onset+aligned_area_60+aligned_area_120+aligned_observed_minutes+end_change+end_slope+negative_area+total_area,1,10.0,7,16.729437969589483
8,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction+onset+aligned_area_60+aligned_area_120+aligned_observed_minutes+end_change+end_slope+negative_area+total_area,1,100.0,2,17.13757272504012
9,peak+early_peak+area_0_60+area_60_120+area_120_180+area_0_180+steepest_15min_rise+rise_0_30+peak_time+positive_duration+area_centroid+late_area_fraction+onset+aligned_area_60+aligned_area_120+aligned_observed_minutes+end_change+end_slope+negative_area+total_area,2,1.0,6,26.390921729992083
