pid,candidate,inner_hits,inner_mae
1,0,11,16.457790671622032
1,1,5,16.199684008516236
1,2,3,17.11755942552307
1,3,8,24.12530602823548
1,4,11,20.106724120353658
1,5,1,20.348692632712865
1,6,8,18.579523543709595
1,7,7,16.46373805811636
1,8,2,16.915602925051317
1,9,9,23.130195780650947
1,10,8,19.06910503461603
1,11,3,21.85510302607629
1,12,9,17.924807534336168
1,13,7,16.986172875896266
1,14,4,17.306823961968266
1,15,3,29.707427448316903
1,16,5,23.61604681830324
1,17,6,18.290129794852895
1,18,8,18.82477353825859
1,19,8,17.269509622100816
1,20,2,17.075339689867217
1,21,8,29.74937179983388
1,22,3,23.41366087980741
1,23,6,20.635194389921605
2,0,9,17.5093267482374
2,1,7,16.64557043156765
2,2,2,17.460565447307864
2,3,6,29.344294504433133
2,4,7,18.070022086118623
2,5,1,18.971899095820998
2,6,8,18.909865973252884
2,7,6,17.55389940485123
2,8,1,17.135583413437974
2,9,4,32.655208376514075
2,10,8,21.803855531543167
2,11,1,20.328751798689048
2,12,8,18.904081732699154
2,13,8,17.26266789876141
2,14,3,17.6452846473738
2,15,5,26.376982911677914
2,16,6,18.79715464942528
2,17,6,17.73450884937127
2,18,6,19.96398227270638
2,19,8,17.751874985659764
2,20,1,17.23132821065389
2,21,6,31.127366405760178
2,22,4,21.916911088361065
2,23,7,19.193484386671333
3,0,9,17.164947043130468
3,1,7,16.485062288334596
3,2,3,17.55370412189634
3,3,7,21.655581635123653
3,4,6,20.045540903174157
3,5,1,20.729690106496925
3,6,8,19.44644676360273
3,7,6,17.283090390325913
3,8,2,17.422703597876108
3,9,5,27.042450358267534
3,10,5,20.01799345627366
3,11,2,22.273970440711018
3,12,8,18.4787268571939
3,13,6,17.081209007230026
3,14,3,17.758228396024116
3,15,4,29.907608109846933
3,16,5,22.492031268868228
3,17,4,18.87083784233186
3,18,8,20.50451760039511
3,19,5,18.285074343393056
3,20,2,17.61407967880629
3,21,3,31.342503174688364
3,22,4,21.39617514143028
3,23,6,20.711155775706974
4,0,11,16.594216176189086
4,1,5,16.669271205146806
4,2,3,17.591074256234368
4,3,4,24.25003342887801
4,4,7,21.279960646985714
4,5,1,20.81397931179759
4,6,10,18.60354441412344
4,7,7,16.857414494497412
4,8,2,17.24497034975046
4,9,7,27.07244835708663
4,10,8,19.196552143738995
4,11,1,22.1443425630197
4,12,9,18.615171957448805
4,13,6,17.488189040055897
4,14,3,17.786214417858094
4,15,3,32.14066201726868
4,16,5,24.028514997675916
4,17,5,18.703796823070626
4,18,10,19.014899145915944
4,19,4,17.68135763718617
4,20,2,17.42402618247322
4,21,10,31.51588539530784
4,22,7,23.366730684955904
4,23,5,20.643542876254763
5,0,9,16.641961753662223
5,1,7,16.00398583060699
5,2,3,17.17322419534868
5,3,7,23.958536113434185
5,4,7,19.177216405861593
5,5,1,20.089205354491924
5,6,11,19.309123452554513
5,7,7,16.75740095063171
5,8,2,16.60781369147847
5,9,6,28.708287134935922
5,10,6,20.572835964618584
5,11,2,20.691766865070605
5,12,10,17.112332108938226
5,13,9,16.80903725606861
5,14,3,17.35683212688243
5,15,4,29.258410774892074
5,16,5,22.196820949333425
5,17,6,18.049808209545258
5,18,10,19.98811805453761
5,19,8,16.533468869278575
5,20,2,16.727989733507584
5,21,6,33.46808446429458
5,22,2,22.94276311719534
5,23,4,18.98980061631794
6,0,7,17.448937585802636
6,1,8,16.423881206654347
6,2,4,16.97488478831985
6,3,7,26.001358178451753
6,4,10,19.488315681466553
6,5,1,19.802482793061383
6,6,9,19.021799671863196
6,7,4,17.532383030765764
6,8,2,16.845766277828282
6,9,7,26.79226445461633
6,10,6,20.12848155935953
6,11,2,22.514192544728022
6,12,7,18.414580404430907
6,13,6,17.29764928354207
6,14,4,17.154516820093068
6,15,6,34.5580220102551
6,16,4,23.34602819110156
6,17,5,17.82481906879562
6,18,6,19.130924559584276
6,19,5,18.247396952846497
6,20,3,16.979842105425224
6,21,6,35.93834337909929
6,22,1,25.677994427479508
6,23,4,21.463494434351304
8,0,11,17.61302023648401
8,1,5,16.11440125176839
8,2,3,17.40912358641279
8,3,8,22.785973429692675
8,4,5,20.16876085494764
8,5,1,20.288625179004768
8,6,9,18.285035742871575
8,7,7,17.307330227011853
8,8,2,17.52223161530138
8,9,10,28.009828173028087
8,10,4,22.131020828745342
8,11,3,22.114474744187447
8,12,10,17.80244349111988
8,13,6,16.774511839820107
8,14,3,17.519451108179624
8,15,6,28.0170620668027
8,16,7,21.02167854873434
8,17,5,18.186465163731736
8,18,8,18.897725187291627
8,19,5,17.558768156944556
8,20,2,17.631309348203352
8,21,4,33.12869111738492
8,22,3,24.07131009213178
8,23,5,20.7113212819095
9,0,7,16.057644599269363
9,1,6,15.476524802597282
9,2,3,17.034256913788248
9,3,6,24.590409185606763
9,4,10,20.40933825114472
9,5,1,20.3231026641932
9,6,5,18.388644071566112
9,7,4,16.11940976123093
9,8,3,16.89382933975421
9,9,6,27.296287966802428
9,10,6,22.489309260545735
9,11,4,22.538306165873347
9,12,8,17.162790181200197
9,13,8,16.079560585569634
9,14,3,17.216737033905968
9,15,6,29.49199394518764
9,16,5,23.249332451677223
9,17,5,18.15873165136808
9,18,9,19.342415830299384
9,19,7,16.632382115897837
9,20,2,17.06141841397197
9,21,4,36.17462012270127
9,22,3,25.02144425957406
9,23,7,20.91171013226376
10,0,10,16.575975757598727
10,1,6,16.202215567628812
10,2,3,17.24249325446729
10,3,6,24.49749827038633
10,4,8,20.730487608006502
10,5,1,20.4071498435068
10,6,8,19.48195163893592
10,7,7,16.96692461045049
10,8,2,17.18640868448598
10,9,6,28.223846373671403
10,10,4,21.886075267122024
10,11,3,22.467972021364982
10,12,9,17.852220541931057
10,13,9,16.97860546473206
10,14,3,17.429879530898937
10,15,7,36.270913874761575
10,16,4,24.73652288433145
10,17,4,18.50596741984884
10,18,8,20.350129643532767
10,19,6,17.84607127980142
10,20,2,17.35470766046178
10,21,1,37.99239707499632
10,22,4,27.026453598639005
10,23,5,21.451186251890277
14,0,10,17.01068047576323
14,1,5,16.286824788741406
14,2,3,17.421734840254352
14,3,6,25.267434349238687
14,4,9,21.534653165767214
14,5,1,20.713073226767964
14,6,7,19.66872108845331
14,7,5,17.304146971306654
14,8,2,17.36592973909369
14,9,4,29.952127585141774
14,10,3,24.264929040755945
14,11,1,23.22357190416649
14,12,8,17.940388306967535
14,13,6,17.232084967244166
14,14,3,17.63994881153766
14,15,2,31.691713659366872
14,16,4,23.99722710462899
14,17,5,18.769938661309958
14,18,7,20.42705541748849
14,19,4,18.089679977752617
14,20,2,17.57634530446868
14,21,3,37.411955318342265
