pid,candidate,inner_hits,inner_mae
1,0,11,16.457790671622032
2,0,9,17.5093267482374
3,0,9,17.164947043130468
4,0,11,16.594216176189086
5,6,11,19.309123452554513
6,4,10,19.488315681466553
8,0,11,17.61302023648401
9,4,10,20.40933825114472
10,0,10,16.575975757598727
14,0,10,17.01068047576323
17,0,9,17.122336668154546
27,13,10,15.18544462531013
31,6,10,19.48406092793876
32,7,8,16.39974601247859
33,12,10,18.585313226746177
34,6,12,18.45863881588803
35,12,12,17.534556456547147
36,18,9,17.36480356028547
38,12,11,17.567307148536166
39,12,9,18.043957532253092
41,12,10,17.771178368184234
42,9,11,20.923852628845694
43,0,10,16.214906898906882
44,13,9,17.429822428106473
45,12,10,18.402424770610352
49,6,9,18.99347825220099
