feature,calibration_higher,query_higher,consistent_sign,usable_people,median_query_to_calibration_contrast,hits,mae
peak,24,23,21,26,0.42466197349073,8,24.2853023621741
early_peak,23,20,17,26,0.3860530810668776,7,30.40320237335099
area_0_60,21,21,18,25,0.37135601828339193,9,25.93682344999481
area_60_120,26,23,23,26,0.6328456038181678,11,20.87395413554198
area_120_180,23,21,20,25,0.4451014973890795,15,50.32208572861291
area_0_180,25,23,22,26,0.47359694277515363,7,33.86644128249972
steepest_15min_rise,24,23,21,26,0.4677193622976751,3,161.55989715467223
rise_0_30,20,18,14,26,0.059780346665592655,4,105.23791166400329
peak_time,21,19,18,25,1.0,6,43.49647648902822
positive_duration,21,18,18,26,0.7,12,34.990848418018544
area_centroid,23,23,22,26,0.574046187930965,4,32.37330383765531
late_area_fraction,22,20,18,25,0.5939052452992893,11,33.94464308861879
