step,group,n,hits,mae,added_term
0,ten_fitted_cases,10,0,28.11326429896925,personal_full_curve_projection
0,other_42_diagnostic_only,42,8,14.984573493457441,personal_full_curve_projection
1,ten_fitted_cases,10,2,19.436534951058295,personal_area_60_120
1,other_42_diagnostic_only,42,8,18.724646961160328,personal_area_60_120
2,ten_fitted_cases,10,1,17.586581769757558,late_hr_coverage
2,other_42_diagnostic_only,42,8,17.953922677600342,late_hr_coverage
3,ten_fitted_cases,10,2,8.634870814395727,pre1_activity
3,other_42_diagnostic_only,42,3,29.444947561506517,pre1_activity
4,ten_fitted_cases,10,3,7.013747915674662,pre24_hr_coverage
4,other_42_diagnostic_only,42,4,30.714394114310704,pre24_hr_coverage
5,ten_fitted_cases,10,6,4.6718879687253025,late_activity
5,other_42_diagnostic_only,42,3,29.82194142228431,late_activity
6,ten_fitted_cases,10,9,1.3928843375513367,pre24_hr
6,other_42_diagnostic_only,42,2,31.906093950832087,pre24_hr
7,ten_fitted_cases,10,10,0.2620866664791201,middle_hr
7,other_42_diagnostic_only,42,4,29.614004528735876,middle_hr
8,ten_fitted_cases,10,10,0.023133098650700745,pre24_glucose
8,other_42_diagnostic_only,42,1,29.550649547377144,pre24_glucose
0,ten_leave_person_out,10,0,28.11326429896925,selected_without_this_person
1,ten_leave_person_out,10,1,50.92189913416352,selected_without_this_person
2,ten_leave_person_out,10,0,84.01554657529431,selected_without_this_person
3,ten_leave_person_out,10,0,84.46713532459071,selected_without_this_person
4,ten_leave_person_out,10,0,81.58358427622355,selected_without_this_person
5,ten_leave_person_out,10,1,70.59204589763138,selected_without_this_person
6,ten_leave_person_out,10,1,68.55485669112625,selected_without_this_person
7,ten_leave_person_out,10,1,68.35776890936128,selected_without_this_person
8,ten_leave_person_out,10,1,68.36523636610448,selected_without_this_person
