step,stage,terms,group,n,hits,mae
0,old_formula_unchanged,7,twenty_fit,20,11,10.751123090716604
0,old_formula_unchanged,7,original_ten,10,10,0.2620866664791226
0,old_formula_unchanged,7,added_ten,10,1,21.240159514954087
0,old_formula_unchanged,7,other32_diagnostic,32,3,32.23083109554269
1,same_seven_terms_refit_on_20,7,twenty_fit,20,6,9.250951140323997
1,same_seven_terms_refit_on_20,7,original_ten,10,3,11.108224001692045
1,same_seven_terms_refit_on_20,7,added_ten,10,3,7.393678278955948
1,same_seven_terms_refit_on_20,7,other32_diagnostic,32,4,23.035978573389023
2,add_early_activity,8,twenty_fit,20,8,6.376024120142962
2,add_early_activity,8,original_ten,10,5,7.793886020805277
2,add_early_activity,8,added_ten,10,3,4.958162219480647
2,add_early_activity,8,other32_diagnostic,32,4,25.786717326226714
3,add_middle_hr_coverage,9,twenty_fit,20,9,4.643153811120305
3,add_middle_hr_coverage,9,original_ten,10,6,4.68742129762083
3,add_middle_hr_coverage,9,added_ten,10,3,4.598886324619778
3,add_middle_hr_coverage,9,other32_diagnostic,32,3,26.54078006001174
4,add_pre6_hr_coverage,10,twenty_fit,20,13,3.592511124798417
4,add_pre6_hr_coverage,10,original_ten,10,8,2.552148365886429
4,add_pre6_hr_coverage,10,added_ten,10,5,4.632873883710404
4,add_pre6_hr_coverage,10,other32_diagnostic,32,3,28.766890188617314
5,add_shape_minimum,11,twenty_fit,20,15,2.909350011374111
5,add_shape_minimum,11,original_ten,10,8,2.650182435391215
5,add_shape_minimum,11,added_ten,10,7,3.1685175873570066
5,add_shape_minimum,11,other32_diagnostic,32,2,28.73764273110332
6,add_middle_activity,12,twenty_fit,20,19,1.8840099711410851
6,add_middle_activity,12,original_ten,10,10,1.9035934218188362
6,add_middle_activity,12,added_ten,10,9,1.8644265204633335
6,add_middle_activity,12,other32_diagnostic,32,4,29.40919962850726
7,add_personal_rise_0_30,13,twenty_fit,20,19,1.2183745996239002
7,add_personal_rise_0_30,13,original_ten,10,10,1.018576917072312
7,add_personal_rise_0_30,13,added_ten,10,9,1.418172282175488
7,add_personal_rise_0_30,13,other32_diagnostic,32,3,29.183769555743346
8,add_shape_start,14,twenty_fit,20,20,0.7512114121604598
8,add_shape_start,14,original_ten,10,10,0.6908895293186117
8,add_shape_start,14,added_ten,10,10,0.8115332950023081
8,add_shape_start,14,other32_diagnostic,32,4,28.940455519634853
