family,gamma,ridge,balanced_hits,balanced_mae
shape,0.01,0.001,0.09375,36.1284845184604
shape,0.01,0.1,0.029947916666666668,30.35839752855334
shape,0.01,1.0,0.041666666666666664,30.05561725183695
shape,0.01,10.0,0.041666666666666664,30.025585485169763
shape,0.1,0.001,0.11766098484848483,39.94437659832791
shape,0.1,0.1,0.09375,35.566331675013544
shape,0.1,1.0,0.022135416666666668,31.583619415644705
shape,0.1,10.0,0.037760416666666664,29.88756973469631
shape,1.0,0.001,0.07161458333333334,51.858085944946836
shape,1.0,0.1,0.09682765151515152,40.21262255325768
shape,1.0,1.0,0.09765625,36.85258114016315
shape,1.0,10.0,0.057291666666666664,34.83995081950559
shape,10.0,0.001,0.08984375,50.5742087863169
shape,10.0,0.1,0.10026041666666666,44.1623637739196
shape,10.0,1.0,0.13151041666666669,38.834578516985495
shape,10.0,10.0,0.05859375,35.43641812099295
glucose,0.01,0.001,0.06510416666666666,48.60744532592854
glucose,0.01,0.1,0.08605587121212122,32.037774033552296
glucose,0.01,1.0,0.07267992424242424,29.531901008538092
glucose,0.01,10.0,0.06924715909090909,29.222048186515494
glucose,0.1,0.001,0.09765625,44.853412710899626
glucose,0.1,0.1,0.14417613636363635,37.80422671880003
glucose,0.1,1.0,0.052083333333333336,31.474887933778373
glucose,0.1,10.0,0.05859375,29.234427593771493
glucose,1.0,0.001,0.11458333333333333,37.771277914066005
glucose,1.0,0.1,0.11848958333333333,37.31682663968941
glucose,1.0,1.0,0.059895833333333336,35.42452981878765
glucose,1.0,10.0,0.029947916666666668,33.70927553516282
glucose,10.0,0.001,0.052083333333333336,34.70291489158029
glucose,10.0,0.1,0.052083333333333336,34.70326775310534
glucose,10.0,1.0,0.049479166666666664,34.70482602325693
glucose,10.0,10.0,0.049479166666666664,34.706346398772546
glucose_activity,0.01,0.001,0.1015625,40.4364814719263
glucose_activity,0.01,0.1,0.06226325757575757,32.645758193788964
glucose_activity,0.01,1.0,0.05871212121212121,31.540938360756172
glucose_activity,0.01,10.0,0.06226325757575757,31.413709865685735
glucose_activity,0.1,0.001,0.11979166666666666,38.06791118944403
glucose_activity,0.1,0.1,0.12168560606060608,34.70552770803614
glucose_activity,0.1,1.0,0.02734375,32.43771999119695
glucose_activity,0.1,10.0,0.06214488636363637,31.11056805180146
glucose_activity,1.0,0.001,0.11458333333333333,35.02119732670275
glucose_activity,1.0,0.1,0.09375,34.974002213935464
glucose_activity,1.0,1.0,0.053385416666666664,34.67027582510114
glucose_activity,1.0,10.0,0.033854166666666664,34.189114153438716
glucose_activity,10.0,0.001,0.049479166666666664,34.709790901052244
glucose_activity,10.0,0.1,0.049479166666666664,34.71016074283685
glucose_activity,10.0,1.0,0.049479166666666664,34.711846395886326
glucose_activity,10.0,10.0,0.049479166666666664,34.71353673245208
