family,scaling,k,balanced_hits,balanced_mae
shape,pooled_earlier,1,0.04296875,48.653172348484844
shape,pooled_earlier,3,0.13020833333333334,41.48230840588356
shape,pooled_earlier,5,0.13671875,40.47542707500126
shape,personal_earlier,1,0.04296875,48.653172348484844
shape,personal_earlier,3,0.1328125,41.51097037093801
shape,personal_earlier,5,0.13671875,40.513193569004336
glucose,pooled_earlier,1,0.13423295454545453,43.93974905303031
glucose,pooled_earlier,3,0.18098958333333331,35.46547398798365
glucose,pooled_earlier,5,0.11979166666666667,34.73953660257304
glucose,personal_earlier,1,0.12026515151515152,44.85783617424242
glucose,personal_earlier,3,0.13411458333333334,35.159727224820415
glucose,personal_earlier,5,0.09114583333333333,34.71111242467229
glucose_activity,pooled_earlier,1,0.11943655303030304,41.12346117424242
glucose_activity,pooled_earlier,3,0.12760416666666669,34.5764933598036
glucose_activity,pooled_earlier,5,0.11458333333333333,34.28872091093324
glucose_activity,personal_earlier,1,0.10677083333333333,37.51302083333333
glucose_activity,personal_earlier,3,0.08723958333333334,37.445704992984844
glucose_activity,personal_earlier,5,0.09375,34.33185597991461
