family,feature_count,gamma,ridge,n,hits,mae,median_error_g
glucose_only,15,0.001,1e-08,75,7,31.668741356344785,31.33745703977698
glucose_only,15,0.001,0.0001,75,19,18.32039938286495,16.974870689596763
glucose_only,15,0.001,0.01,75,22,17.04978124737349,13.187449326163595
glucose_only,15,0.001,0.1,75,26,17.245536531895414,18.129253245138578
glucose_only,15,0.001,1.0,75,27,17.966981956619144,19.05703660074345
glucose_only,15,0.001,10.0,75,27,18.095190325821,19.022536828227402
glucose_only,15,0.001,100.0,75,27,18.10915299235511,19.020468646856834
glucose_only,15,0.01,1e-08,75,2,54.14289754149961,40.0
glucose_only,15,0.01,0.0001,75,19,18.656520851262684,14.947244084522346
glucose_only,15,0.01,0.01,75,18,17.662845686325827,14.971837525872296
glucose_only,15,0.01,0.1,75,22,17.019352455587104,13.65146573293682
glucose_only,15,0.01,1.0,75,26,17.245062276899635,18.09210224139442
glucose_only,15,0.01,10.0,75,27,17.965259147154267,19.0291024294144
glucose_only,15,0.01,100.0,75,27,18.092439050675093,19.006460987513172
glucose_only,15,0.1,1e-08,75,6,47.715440954377364,38.48129858417601
glucose_only,15,0.1,0.0001,75,9,29.38342806180158,25.80916190791109
glucose_only,15,0.1,0.01,75,17,19.499070732121968,15.241241131722155
glucose_only,15,0.1,0.1,75,19,17.33289116352764,16.54747213929486
glucose_only,15,0.1,1.0,75,23,16.827817177825487,15.223445014695649
glucose_only,15,0.1,10.0,75,26,17.303332924294935,18.511065485865068
glucose_only,15,0.1,100.0,75,27,17.972179962078908,18.890420960471076
glucose_only,15,1.0,1e-08,75,10,27.10054370289904,23.02336084082649
glucose_only,15,1.0,0.0001,75,10,26.96468895377769,23.26118152282684
glucose_only,15,1.0,0.01,75,10,23.99216198720816,19.80037094822476
glucose_only,15,1.0,0.1,75,14,19.647949661762357,18.097530277592426
glucose_only,15,1.0,1.0,75,22,15.721970688100873,12.762694752235284
glucose_only,15,1.0,10.0,75,23,16.48825734353756,15.312216075625713
glucose_only,15,1.0,100.0,75,27,17.816758687168846,19.01780060911169
glucose_only,15,10.0,1e-08,75,24,18.12513979568202,19.014356305041993
glucose_only,15,10.0,0.0001,75,24,18.124980464571195,19.01435709536034
glucose_only,15,10.0,0.01,75,24,18.109497249087376,19.014434479163633
glucose_only,15,10.0,0.1,75,25,18.03257554333319,19.015067841077773
glucose_only,15,10.0,1.0,75,26,17.880697789825195,18.64857395856729
glucose_only,15,10.0,10.0,75,28,18.009165588046365,19.022058826074264
glucose_only,15,10.0,100.0,75,27,18.09935101409783,19.022058823806866
glucose_hr_activity,27,0.001,1e-08,75,10,35.56913774022869,25.278371432248292
glucose_hr_activity,27,0.001,0.0001,75,15,18.894577839064837,17.384495926938733
glucose_hr_activity,27,0.001,0.01,75,20,16.757712640098674,14.408682259055837
glucose_hr_activity,27,0.001,0.1,75,28,16.922369182271975,17.789114735681686
glucose_hr_activity,27,0.001,1.0,75,27,17.916376525883507,19.081247501951246
glucose_hr_activity,27,0.001,10.0,75,27,18.090693111984837,19.02652622019204
glucose_hr_activity,27,0.001,100.0,75,27,18.108865998704424,19.021668411190475
glucose_hr_activity,27,0.01,1e-08,75,8,38.6670733363269,29.164925833616195
glucose_hr_activity,27,0.01,0.0001,75,17,20.19411869850111,17.400554037803573
glucose_hr_activity,27,0.01,0.01,75,15,17.843949352596116,15.630025443295061
glucose_hr_activity,27,0.01,0.1,75,19,16.74270490939582,14.148088307289896
glucose_hr_activity,27,0.01,1.0,75,28,16.925334414981414,17.78188034033675
glucose_hr_activity,27,0.01,10.0,75,27,17.91850970732969,19.066092171569075
glucose_hr_activity,27,0.01,100.0,75,27,18.089568889897073,19.018151874588327
glucose_hr_activity,27,0.1,1e-08,75,13,29.881272414481323,23.12075734267487
glucose_hr_activity,27,0.1,0.0001,75,15,27.932420648085444,20.062956587154666
glucose_hr_activity,27,0.1,0.01,75,18,18.89575955298258,14.871135674309379
glucose_hr_activity,27,0.1,0.1,75,15,17.552437776706526,13.926604391048706
glucose_hr_activity,27,0.1,1.0,75,19,16.635166558348622,13.976174724337788
glucose_hr_activity,27,0.1,10.0,75,27,16.980749919422827,18.5812982781586
glucose_hr_activity,27,0.1,100.0,75,27,17.946036169492192,18.982916770476272
glucose_hr_activity,27,1.0,1e-08,75,13,19.564521149582962,14.320396668739555
glucose_hr_activity,27,1.0,0.0001,75,13,19.56112786053286,14.300900231548347
glucose_hr_activity,27,1.0,0.01,75,13,19.234665380467064,13.476683928745949
glucose_hr_activity,27,1.0,0.1,75,17,17.73264670026732,14.434960320895975
glucose_hr_activity,27,1.0,1.0,75,22,16.312493965745364,14.496538698313636
glucose_hr_activity,27,1.0,10.0,75,27,16.516799346751267,17.89592283400001
glucose_hr_activity,27,1.0,100.0,75,27,17.84669094205741,18.97629237336428
glucose_hr_activity,27,10.0,1e-08,75,27,18.12470432362168,19.049634373500332
glucose_hr_activity,27,10.0,0.0001,75,27,18.124704181844717,19.049626719848064
glucose_hr_activity,27,10.0,0.01,75,27,18.124688861494164,19.04888506067823
glucose_hr_activity,27,10.0,0.1,75,27,18.124456986909664,19.043375759903732
glucose_hr_activity,27,10.0,1.0,75,27,18.120711890200823,19.028110354640702
glucose_hr_activity,27,10.0,10.0,75,27,18.113216771404687,19.023052768798884
glucose_hr_activity,27,10.0,100.0,75,27,18.111319618177912,19.022175769529582
