pid,role,n,at_floor
1,low_calibration,191,0
1,high_calibration,191,0
1,low_query,191,0
1,high_query,191,0
2,low_calibration,191,0
2,high_calibration,191,0
2,low_query,191,0
2,high_query,191,0
3,low_calibration,191,0
3,high_calibration,191,0
3,low_query,191,0
3,high_query,191,0
4,low_calibration,191,0
4,high_calibration,191,0
4,low_query,191,0
4,high_query,191,0
5,low_calibration,191,0
5,high_calibration,191,0
5,low_query,191,0
5,high_query,191,0
6,low_calibration,191,0
6,high_calibration,191,0
6,low_query,191,0
6,high_query,191,0
8,low_calibration,191,0
8,high_calibration,191,0
8,low_query,191,0
8,high_query,191,0
9,low_calibration,191,0
9,high_calibration,191,0
9,low_query,191,0
9,high_query,191,0
10,low_calibration,191,0
10,high_calibration,191,0
10,low_query,191,0
10,high_query,191,0
14,low_calibration,191,0
14,high_calibration,191,0
14,low_query,191,0
14,high_query,191,0
17,low_calibration,191,0
17,high_calibration,191,0
17,low_query,191,0
17,high_query,191,0
27,low_calibration,191,0
27,high_calibration,191,0
27,low_query,191,0
27,high_query,191,0
31,low_calibration,191,0
31,high_calibration,191,0
31,low_query,191,0
31,high_query,191,0
32,low_calibration,191,0
32,high_calibration,191,0
32,low_query,191,101
32,high_query,191,0
33,low_calibration,191,0
33,high_calibration,191,0
33,low_query,191,0
33,high_query,191,0
34,low_calibration,191,0
34,high_calibration,191,0
34,low_query,191,0
34,high_query,191,0
35,low_calibration,191,0
35,high_calibration,191,0
35,low_query,191,0
35,high_query,191,0
36,low_calibration,191,0
36,high_calibration,191,0
36,low_query,191,0
36,high_query,191,0
38,low_calibration,191,0
38,high_calibration,191,0
38,low_query,191,0
38,high_query,191,0
39,low_calibration,191,0
39,high_calibration,191,0
39,low_query,191,0
39,high_query,191,0
41,low_calibration,191,0
41,high_calibration,191,0
41,low_query,191,0
41,high_query,191,0
42,low_calibration,191,0
42,high_calibration,191,0
42,low_query,191,0
42,high_query,191,0
43,low_calibration,191,0
43,high_calibration,191,0
43,low_query,191,0
43,high_query,191,0
44,low_calibration,191,0
44,high_calibration,191,0
44,low_query,191,0
44,high_query,191,0
45,low_calibration,191,0
45,high_calibration,191,0
45,low_query,191,0
45,high_query,191,0
49,low_calibration,191,0
49,high_calibration,191,0
49,low_query,191,0
49,high_query,191,0
