sensor,extra_known,method,metric,size,sum,mean
Dexcom GL,0,common_curve_shift,amplitude,84,26,0.30952380952380953
Dexcom GL,0,common_curve_shift,shape,84,32,0.38095238095238093
Dexcom GL,0,common_gain_offset,amplitude,84,26,0.30952380952380953
Dexcom GL,0,common_gain_offset,shape,84,32,0.38095238095238093
Dexcom GL,0,latest_same_recipe,amplitude,84,26,0.30952380952380953
Dexcom GL,0,latest_same_recipe,shape,84,32,0.38095238095238093
Dexcom GL,0,original,amplitude,84,26,0.30952380952380953
Dexcom GL,0,original,shape,84,32,0.38095238095238093
Dexcom GL,1,common_curve_shift,amplitude,63,9,0.14285714285714285
Dexcom GL,1,common_curve_shift,shape,63,6,0.09523809523809523
Dexcom GL,1,common_gain_offset,amplitude,63,20,0.31746031746031744
Dexcom GL,1,common_gain_offset,shape,63,18,0.2857142857142857
Dexcom GL,1,latest_same_recipe,amplitude,63,24,0.38095238095238093
Dexcom GL,1,latest_same_recipe,shape,63,24,0.38095238095238093
Dexcom GL,1,original,amplitude,63,22,0.3492063492063492
Dexcom GL,1,original,shape,63,26,0.4126984126984127
Dexcom GL,2,common_curve_shift,amplitude,42,11,0.2619047619047619
Dexcom GL,2,common_curve_shift,shape,42,7,0.16666666666666666
Dexcom GL,2,common_gain_offset,amplitude,42,14,0.3333333333333333
Dexcom GL,2,common_gain_offset,shape,42,18,0.42857142857142855
Dexcom GL,2,latest_same_recipe,amplitude,42,18,0.42857142857142855
Dexcom GL,2,latest_same_recipe,shape,42,17,0.40476190476190477
Dexcom GL,2,original,amplitude,42,17,0.40476190476190477
Dexcom GL,2,original,shape,42,20,0.47619047619047616
Dexcom GL,3,common_curve_shift,amplitude,21,7,0.3333333333333333
Dexcom GL,3,common_curve_shift,shape,21,6,0.2857142857142857
Dexcom GL,3,common_gain_offset,amplitude,21,12,0.5714285714285714
Dexcom GL,3,common_gain_offset,shape,21,10,0.47619047619047616
Dexcom GL,3,latest_same_recipe,amplitude,21,13,0.6190476190476191
Dexcom GL,3,latest_same_recipe,shape,21,10,0.47619047619047616
Dexcom GL,3,original,amplitude,21,12,0.5714285714285714
Dexcom GL,3,original,shape,21,11,0.5238095238095238
Libre GL,0,common_curve_shift,amplitude,88,28,0.3181818181818182
Libre GL,0,common_curve_shift,shape,88,30,0.3409090909090909
Libre GL,0,common_gain_offset,amplitude,88,28,0.3181818181818182
Libre GL,0,common_gain_offset,shape,88,30,0.3409090909090909
Libre GL,0,latest_same_recipe,amplitude,88,28,0.3181818181818182
Libre GL,0,latest_same_recipe,shape,88,30,0.3409090909090909
Libre GL,0,original,amplitude,88,28,0.3181818181818182
Libre GL,0,original,shape,88,30,0.3409090909090909
Libre GL,1,common_curve_shift,amplitude,66,10,0.15151515151515152
Libre GL,1,common_curve_shift,shape,66,9,0.13636363636363635
Libre GL,1,common_gain_offset,amplitude,66,22,0.3333333333333333
Libre GL,1,common_gain_offset,shape,66,22,0.3333333333333333
Libre GL,1,latest_same_recipe,amplitude,66,25,0.3787878787878788
Libre GL,1,latest_same_recipe,shape,66,19,0.2878787878787879
Libre GL,1,original,amplitude,66,25,0.3787878787878788
Libre GL,1,original,shape,66,23,0.3484848484848485
Libre GL,2,common_curve_shift,amplitude,44,13,0.29545454545454547
Libre GL,2,common_curve_shift,shape,44,13,0.29545454545454547
Libre GL,2,common_gain_offset,amplitude,44,21,0.4772727272727273
Libre GL,2,common_gain_offset,shape,44,19,0.4318181818181818
Libre GL,2,latest_same_recipe,amplitude,44,20,0.45454545454545453
Libre GL,2,latest_same_recipe,shape,44,17,0.38636363636363635
Libre GL,2,original,amplitude,44,20,0.45454545454545453
Libre GL,2,original,shape,44,17,0.38636363636363635
Libre GL,3,common_curve_shift,amplitude,22,6,0.2727272727272727
Libre GL,3,common_curve_shift,shape,22,5,0.22727272727272727
Libre GL,3,common_gain_offset,amplitude,22,13,0.5909090909090909
Libre GL,3,common_gain_offset,shape,22,10,0.45454545454545453
Libre GL,3,latest_same_recipe,amplitude,22,14,0.6363636363636364
Libre GL,3,latest_same_recipe,shape,22,8,0.36363636363636365
Libre GL,3,original,amplitude,22,15,0.6818181818181818
Libre GL,3,original,shape,22,9,0.4090909090909091
