sensor,method,meals,hits,relative_error
Dexcom GL,nested_selected,84,21,0.26875577913708304
Dexcom GL,pre10/120/prior0.25/lambda0,84,3,0.4893478016776537
Dexcom GL,pre10/120/prior0.25/lambda0.01,84,3,0.4934381451047898
Dexcom GL,pre10/120/prior0.25/lambda0.1,84,2,0.49905113565996945
Dexcom GL,pre10/120/prior0.25/lambda1,84,0,0.5276912012286891
Dexcom GL,pre10/120/prior0.25/lambda10,84,0,0.5433634819481516
Dexcom GL,pre10/120/prior0.25/lambda100,84,0,0.5494464100491978
Dexcom GL,pre10/120/prior0/lambda0,84,3,0.4893478016776537
Dexcom GL,pre10/120/prior0/lambda0.01,84,3,0.48943223071198155
Dexcom GL,pre10/120/prior0/lambda0.1,84,3,0.474972260165274
Dexcom GL,pre10/120/prior0/lambda1,84,2,0.41917343242620125
Dexcom GL,pre10/120/prior0/lambda10,84,8,0.3050649054944037
Dexcom GL,pre10/120/prior0/lambda100,84,21,0.2688970663029401
Dexcom GL,pre10/180/prior0.25/lambda0,84,3,0.4861951440388268
Dexcom GL,pre10/180/prior0.25/lambda0.01,84,2,0.49052519743286493
Dexcom GL,pre10/180/prior0.25/lambda0.1,84,2,0.49837328741251374
Dexcom GL,pre10/180/prior0.25/lambda1,84,0,0.532167669838876
Dexcom GL,pre10/180/prior0.25/lambda10,84,0,0.5463966856234211
Dexcom GL,pre10/180/prior0.25/lambda100,84,0,0.5498163754454499
Dexcom GL,pre10/180/prior0/lambda0,84,3,0.4861951440388268
Dexcom GL,pre10/180/prior0/lambda0.01,84,2,0.48708384935303084
Dexcom GL,pre10/180/prior0/lambda0.1,84,3,0.47381614031283936
Dexcom GL,pre10/180/prior0/lambda1,84,2,0.424433469005552
Dexcom GL,pre10/180/prior0/lambda10,84,5,0.3072781954707028
Dexcom GL,pre10/180/prior0/lambda100,84,21,0.26915866712131864
Dexcom GL,pre10/60/prior0.25/lambda0,84,3,0.563842060492589
Dexcom GL,pre10/60/prior0.25/lambda0.01,84,3,0.5481874361990782
Dexcom GL,pre10/60/prior0.25/lambda0.1,84,2,0.5238253825121648
Dexcom GL,pre10/60/prior0.25/lambda1,84,0,0.5232523568089895
Dexcom GL,pre10/60/prior0.25/lambda10,84,0,0.541807545168307
Dexcom GL,pre10/60/prior0.25/lambda100,84,0,0.5492140464092353
Dexcom GL,pre10/60/prior0/lambda0,84,3,0.563842060492589
Dexcom GL,pre10/60/prior0/lambda0.01,84,3,0.5440430887831245
Dexcom GL,pre10/60/prior0/lambda0.1,84,3,0.499029892216721
Dexcom GL,pre10/60/prior0/lambda1,84,2,0.41981839982307
Dexcom GL,pre10/60/prior0/lambda10,84,11,0.309321375088548
Dexcom GL,pre10/60/prior0/lambda100,84,21,0.2695029209953055
Dexcom GL,start/120/prior0.25/lambda0,84,4,0.4944207431071272
Dexcom GL,start/120/prior0.25/lambda0.01,84,3,0.4953874607842634
Dexcom GL,start/120/prior0.25/lambda0.1,84,2,0.49823730828299084
Dexcom GL,start/120/prior0.25/lambda1,84,0,0.5237473903969916
Dexcom GL,start/120/prior0.25/lambda10,84,0,0.5420207403189461
Dexcom GL,start/120/prior0.25/lambda100,84,0,0.5492741197736697
Dexcom GL,start/120/prior0/lambda0,84,4,0.4944207431071272
Dexcom GL,start/120/prior0/lambda0.01,84,4,0.4911672617916623
Dexcom GL,start/120/prior0/lambda0.1,84,4,0.4729676226354174
Dexcom GL,start/120/prior0/lambda1,84,1,0.4169311985275441
Dexcom GL,start/120/prior0/lambda10,84,7,0.30404298467469226
Dexcom GL,start/120/prior0/lambda100,84,21,0.26875577913708304
Dexcom GL,start/180/prior0.25/lambda0,84,4,0.4925963081988603
Dexcom GL,start/180/prior0.25/lambda0.01,84,3,0.4928936902687668
Dexcom GL,start/180/prior0.25/lambda0.1,84,3,0.49532725379318226
Dexcom GL,start/180/prior0.25/lambda1,84,0,0.5276536416326443
Dexcom GL,start/180/prior0.25/lambda10,84,0,0.545488566989405
Dexcom GL,start/180/prior0.25/lambda100,84,0,0.5497049847195908
Dexcom GL,start/180/prior0/lambda0,84,4,0.4925963081988603
Dexcom GL,start/180/prior0/lambda0.01,84,3,0.48922877986971386
Dexcom GL,start/180/prior0/lambda0.1,84,2,0.4712025543550938
Dexcom GL,start/180/prior0/lambda1,84,1,0.4199765959264689
Dexcom GL,start/180/prior0/lambda10,84,5,0.30620912014776325
Dexcom GL,start/180/prior0/lambda100,84,21,0.2690271379546195
Dexcom GL,start/60/prior0.25/lambda0,84,2,0.5853944214090675
Dexcom GL,start/60/prior0.25/lambda0.01,84,2,0.5678846011156985
Dexcom GL,start/60/prior0.25/lambda0.1,84,1,0.5289583455128517
Dexcom GL,start/60/prior0.25/lambda1,84,0,0.5215999222888932
Dexcom GL,start/60/prior0.25/lambda10,84,0,0.5399870020340328
Dexcom GL,start/60/prior0.25/lambda100,84,0,0.5489961260291989
Dexcom GL,start/60/prior0/lambda0,84,2,0.5853944214090675
Dexcom GL,start/60/prior0/lambda0.01,84,2,0.5633871176663713
Dexcom GL,start/60/prior0/lambda0.1,84,3,0.504343223360684
Dexcom GL,start/60/prior0/lambda1,84,2,0.41763839590604346
Dexcom GL,start/60/prior0/lambda10,84,11,0.3075214152059842
Dexcom GL,start/60/prior0/lambda100,84,21,0.2692720681933104
Libre GL,nested_selected,88,22,0.2698066665840555
Libre GL,pre10/120/prior0.25/lambda0,88,2,0.541141096625437
Libre GL,pre10/120/prior0.25/lambda0.01,88,2,0.5358399454320842
Libre GL,pre10/120/prior0.25/lambda0.1,88,0,0.5422219487423424
Libre GL,pre10/120/prior0.25/lambda1,88,0,0.5448950423600908
Libre GL,pre10/120/prior0.25/lambda10,88,0,0.5470211456441049
Libre GL,pre10/120/prior0.25/lambda100,88,0,0.5498389065099508
Libre GL,pre10/120/prior0/lambda0,88,2,0.541141096625437
Libre GL,pre10/120/prior0/lambda0.01,88,2,0.5275518027460084
Libre GL,pre10/120/prior0/lambda0.1,88,0,0.5052412706494865
Libre GL,pre10/120/prior0/lambda1,88,0,0.42402241704290505
Libre GL,pre10/120/prior0/lambda10,88,10,0.30514171888964914
Libre GL,pre10/120/prior0/lambda100,88,22,0.2688896025393915
Libre GL,pre10/180/prior0.25/lambda0,88,2,0.5024918795320674
Libre GL,pre10/180/prior0.25/lambda0.01,88,1,0.5072189064929715
Libre GL,pre10/180/prior0.25/lambda0.1,88,0,0.5168694991646904
Libre GL,pre10/180/prior0.25/lambda1,88,0,0.5330928244519689
Libre GL,pre10/180/prior0.25/lambda10,88,0,0.5467055302448358
