sensor,baseline,minutes,pid,macro,early_late_contrast_cosine,binary_accuracy
Libre GL,pre10,60,1,carbs,0.352682973490472,0.5
Libre GL,pre10,60,1,protein,0.8991001257162685,0.5
Libre GL,pre10,60,1,fat,0.6804232890286831,0.5
Libre GL,pre10,60,2,carbs,0.4107618356824572,1.0
Libre GL,pre10,60,2,protein,-0.7358404017839515,0.0
Libre GL,pre10,60,2,fat,0.04751075508959968,0.5
Libre GL,pre10,60,5,carbs,-0.954319260490286,0.0
Libre GL,pre10,60,5,protein,-0.9275361213610008,0.0
Libre GL,pre10,60,5,fat,-0.9804537449933562,0.5
Libre GL,pre10,60,6,carbs,-0.97837015859467,0.0
Libre GL,pre10,60,6,protein,-0.6655211102508913,0.5
Libre GL,pre10,60,6,fat,0.9220742524372505,0.5
Libre GL,pre10,60,8,carbs,-0.19827614087248954,0.0
Libre GL,pre10,60,8,protein,0.5897285516434903,0.5
Libre GL,pre10,60,8,fat,0.8551913200402953,1.0
Libre GL,pre10,60,9,carbs,0.8978575263357016,1.0
Libre GL,pre10,60,9,protein,0.9454125753532698,1.0
Libre GL,pre10,60,9,fat,0.9309739045191397,1.0
Libre GL,pre10,60,10,carbs,0.7547862098126807,1.0
Libre GL,pre10,60,10,protein,-0.2063084905239766,0.5
Libre GL,pre10,60,10,fat,-0.8207662222737568,0.5
Libre GL,pre10,60,14,carbs,0.9635867955206204,1.0
Libre GL,pre10,60,14,protein,0.6930432260050597,1.0
Libre GL,pre10,60,14,fat,0.9751601772081198,0.5
Libre GL,pre10,60,17,carbs,0.12919021930232263,0.5
Libre GL,pre10,60,17,protein,-0.49764520093177034,0.0
Libre GL,pre10,60,17,fat,-0.4616486587035271,0.5
Libre GL,pre10,60,27,carbs,0.04609352371484882,0.5
Libre GL,pre10,60,27,protein,0.49100307445298474,0.5
Libre GL,pre10,60,27,fat,0.9428061511059995,0.5
Libre GL,pre10,60,31,carbs,0.6082684769857291,1.0
Libre GL,pre10,60,31,protein,0.88768683894435,1.0
Libre GL,pre10,60,31,fat,0.27166987517085095,0.5
Libre GL,pre10,60,32,carbs,-0.9740332699064119,0.0
Libre GL,pre10,60,32,protein,-0.8817016111710498,0.5
Libre GL,pre10,60,32,fat,-0.9762115654839962,0.0
Libre GL,pre10,60,34,carbs,0.8402553436339062,1.0
Libre GL,pre10,60,34,protein,0.14403129805586404,0.5
Libre GL,pre10,60,34,fat,-0.45799889862682336,0.5
Libre GL,pre10,60,35,carbs,0.9889239641666802,0.5
Libre GL,pre10,60,35,protein,0.8057958027133441,1.0
Libre GL,pre10,60,35,fat,-0.09355741168700527,0.5
Libre GL,pre10,60,36,carbs,0.7959929782318936,0.5
Libre GL,pre10,60,36,protein,0.788741061782111,0.5
Libre GL,pre10,60,36,fat,0.7152725452082532,0.5
Libre GL,pre10,60,38,carbs,0.7196296033672889,1.0
Libre GL,pre10,60,38,protein,-0.33771294349756836,0.5
Libre GL,pre10,60,38,fat,0.9323458681664811,0.5
Libre GL,pre10,60,41,carbs,0.9925187417132586,1.0
Libre GL,pre10,60,41,protein,0.9680913577397061,0.5
Libre GL,pre10,60,41,fat,0.5856299601567954,0.5
Libre GL,pre10,60,42,carbs,0.13867680391408313,0.5
Libre GL,pre10,60,42,protein,-0.8784398500701495,0.5
Libre GL,pre10,60,42,fat,0.8661832097303406,0.5
Libre GL,pre10,60,43,carbs,0.9861881701796867,1.0
Libre GL,pre10,60,43,protein,0.9068961004293639,0.5
Libre GL,pre10,60,43,fat,0.8878865957375143,1.0
Libre GL,pre10,60,44,carbs,0.36396777735170527,1.0
Libre GL,pre10,60,44,protein,-0.35725277870522626,0.5
Libre GL,pre10,60,44,fat,-0.9902726359519407,0.5
Libre GL,pre10,60,45,carbs,0.8554511610559488,1.0
Libre GL,pre10,60,45,protein,0.9921125346560553,1.0
Libre GL,pre10,60,45,fat,0.8892928584429018,1.0
Libre GL,pre10,60,49,carbs,0.9468921622749972,0.5
Libre GL,pre10,60,49,protein,-0.8505852620556545,0.5
Libre GL,pre10,60,49,fat,-0.9558354460742492,0.0
Libre GL,pre10,120,1,carbs,-0.009583892965187944,0.5
Libre GL,pre10,120,1,protein,0.4332603386672839,0.5
Libre GL,pre10,120,1,fat,0.6097534250625594,0.5
Libre GL,pre10,120,2,carbs,0.85503251668352,1.0
Libre GL,pre10,120,2,protein,-0.6901271579844808,0.0
Libre GL,pre10,120,2,fat,-0.8162693457001352,0.0
Libre GL,pre10,120,5,carbs,-0.47658998312191875,0.0
Libre GL,pre10,120,5,protein,-0.41913915709673166,0.0
Libre GL,pre10,120,5,fat,-0.4810607470853783,0.5
Libre GL,pre10,120,6,carbs,-0.6274263315738181,0.5
Libre GL,pre10,120,6,protein,0.18036783555861846,1.0
Libre GL,pre10,120,6,fat,0.33965932394099574,0.5
Libre GL,pre10,120,8,carbs,0.9577190903354456,1.0
Libre GL,pre10,120,8,protein,0.936815783379989,1.0
Libre GL,pre10,120,8,fat,0.9569894658181073,1.0
Libre GL,pre10,120,9,carbs,0.8960178533115388,1.0
Libre GL,pre10,120,9,protein,0.737851814600878,0.5
Libre GL,pre10,120,9,fat,0.6633806048506466,0.5
Libre GL,pre10,120,10,carbs,0.5917011189319765,1.0
Libre GL,pre10,120,10,protein,-0.637276544950522,0.5
Libre GL,pre10,120,10,fat,-0.11674499118291216,0.5
Libre GL,pre10,120,14,carbs,0.9713174852349505,1.0
Libre GL,pre10,120,14,protein,0.8608196229709458,0.5
Libre GL,pre10,120,14,fat,0.8505558043862378,1.0
Libre GL,pre10,120,17,carbs,0.764462296328388,0.5
Libre GL,pre10,120,17,protein,-0.3714066955171419,0.0
Libre GL,pre10,120,17,fat,-0.2447630659648748,0.5
Libre GL,pre10,120,27,carbs,0.7763680267846981,0.5
Libre GL,pre10,120,27,protein,-0.32353534363477,0.0
Libre GL,pre10,120,27,fat,0.9699821134977268,0.5
Libre GL,pre10,120,31,carbs,0.7545113562561279,1.0
Libre GL,pre10,120,31,protein,0.8569638352351444,1.0
Libre GL,pre10,120,31,fat,0.039102703524526446,0.5
Libre GL,pre10,120,32,carbs,-0.9539325831545734,0.0
Libre GL,pre10,120,32,protein,-0.6605978665910622,0.5
Libre GL,pre10,120,32,fat,-0.8062996948479448,0.0
Libre GL,pre10,120,34,carbs,0.5704493824640803,1.0
Libre GL,pre10,120,34,protein,0.03892882665665514,0.5
Libre GL,pre10,120,34,fat,-0.07618928971343909,0.0
Libre GL,pre10,120,35,carbs,0.8455471497146341,0.5
Libre GL,pre10,120,35,protein,-0.16152090796531499,0.5
Libre GL,pre10,120,35,fat,-0.573203690498705,0.0
Libre GL,pre10,120,36,carbs,0.7408959555429887,0.5
Libre GL,pre10,120,36,protein,-0.14828144584237515,0.5
Libre GL,pre10,120,36,fat,-0.7351808695376529,0.5
Libre GL,pre10,120,38,carbs,0.700904381845969,1.0
Libre GL,pre10,120,38,protein,0.26778708192890327,1.0
Libre GL,pre10,120,38,fat,0.002216786184585641,0.5
Libre GL,pre10,120,41,carbs,0.9864473695595966,0.5
Libre GL,pre10,120,41,protein,0.9979876313547626,0.5
Libre GL,pre10,120,41,fat,0.5422078655007188,0.5
Libre GL,pre10,120,42,carbs,-0.6848759602308045,0.5
Libre GL,pre10,120,42,protein,-0.9595982881876939,0.5
Libre GL,pre10,120,42,fat,-0.24209978700275916,0.5
Libre GL,pre10,120,43,carbs,0.9323616683083262,1.0
Libre GL,pre10,120,43,protein,0.6648413399134872,0.5
Libre GL,pre10,120,43,fat,0.656712425020056,1.0
Libre GL,pre10,120,44,carbs,0.9361778703992947,1.0
Libre GL,pre10,120,44,protein,0.09349968610202691,0.5
Libre GL,pre10,120,44,fat,-0.35938597238035713,0.0
Libre GL,pre10,120,45,carbs,0.8856138672673574,1.0
Libre GL,pre10,120,45,protein,0.2985522670089618,1.0
Libre GL,pre10,120,45,fat,0.5029465538600998,1.0
Libre GL,pre10,120,49,carbs,0.9338676127632132,0.5
Libre GL,pre10,120,49,protein,-0.9679213857697949,0.5
Libre GL,pre10,120,49,fat,-0.951508293746282,0.0
Libre GL,pre10,180,1,carbs,-0.12531369212168306,0.5
Libre GL,pre10,180,1,protein,0.32985197822783796,0.5
Libre GL,pre10,180,1,fat,0.5149237745168417,0.5
Libre GL,pre10,180,2,carbs,0.6683730544570774,1.0
Libre GL,pre10,180,2,protein,-0.4571106961041833,0.0
Libre GL,pre10,180,2,fat,-0.9256728903848007,0.0
Libre GL,pre10,180,5,carbs,0.44635198727987785,0.5
Libre GL,pre10,180,5,protein,0.0958633585770987,0.5
Libre GL,pre10,180,5,fat,0.03399701447513112,0.5
Libre GL,pre10,180,6,carbs,-0.055876670577473066,0.5
Libre GL,pre10,180,6,protein,-0.0008499893031490463,0.5
Libre GL,pre10,180,6,fat,0.5834116772264126,0.5
Libre GL,pre10,180,8,carbs,0.8852224587208587,1.0
Libre GL,pre10,180,8,protein,0.8063367191957684,1.0
Libre GL,pre10,180,8,fat,0.6389262770172704,1.0
Libre GL,pre10,180,9,carbs,0.8428457222116731,0.5
Libre GL,pre10,180,9,protein,0.43558195859867266,0.5
Libre GL,pre10,180,9,fat,0.529733217882925,0.5
Libre GL,pre10,180,10,carbs,0.529233973723232,1.0
Libre GL,pre10,180,10,protein,-0.7256127174737913,0.0
Libre GL,pre10,180,10,fat,0.6667336283023937,1.0
Libre GL,pre10,180,14,carbs,0.9381627342525358,1.0
Libre GL,pre10,180,14,protein,0.8608188369202829,1.0
Libre GL,pre10,180,14,fat,0.35873624019592765,1.0
Libre GL,pre10,180,17,carbs,0.8001075872560123,0.5
Libre GL,pre10,180,17,protein,-0.2802725103548137,0.0
Libre GL,pre10,180,17,fat,-0.2323548218271874,0.5
Libre GL,pre10,180,27,carbs,0.7497268994522063,0.5
Libre GL,pre10,180,27,protein,-0.1471389825626821,0.5
Libre GL,pre10,180,27,fat,0.776590720928253,0.5
Libre GL,pre10,180,31,carbs,0.7198214900954917,0.5
Libre GL,pre10,180,31,protein,0.6820835879208341,0.5
Libre GL,pre10,180,31,fat,-0.025126137725037016,0.5
Libre GL,pre10,180,32,carbs,-0.9558114667067844,0.0
Libre GL,pre10,180,32,protein,-0.34002520890098226,0.5
Libre GL,pre10,180,32,fat,-0.7429579453779588,0.0
Libre GL,pre10,180,34,carbs,0.35394652413064864,0.5
