sensor,method,macro,high_count,low_count,high_recall,low_recall,balanced_accuracy
Dexcom GL,nested_glucose_only,C,63,21,0.8095238095238095,0.5714285714285714,0.6904761904761905
Dexcom GL,nested_glucose_only,P,21,63,0.09523809523809523,0.7777777777777778,0.4365079365079365
Dexcom GL,nested_glucose_only,F,21,63,0.42857142857142855,0.6825396825396826,0.5555555555555556
Dexcom GL,nested_selected,C,63,21,0.8412698412698413,0.5238095238095238,0.6825396825396826
Dexcom GL,nested_selected,P,21,63,0.09523809523809523,0.746031746031746,0.42063492063492064
Dexcom GL,nested_selected,F,21,63,0.38095238095238093,0.6507936507936508,0.5158730158730158
Dexcom GL,no_sensor_reference,C,63,21,1.0,0.0,0.5
Dexcom GL,no_sensor_reference,P,21,63,0.0,1.0,0.5
Dexcom GL,no_sensor_reference,F,21,63,0.0,1.0,0.5
Libre GL,nested_glucose_only,C,66,22,0.8181818181818182,0.5909090909090909,0.7045454545454546
Libre GL,nested_glucose_only,P,22,66,0.2727272727272727,0.8787878787878788,0.5757575757575757
Libre GL,nested_glucose_only,F,22,66,0.4090909090909091,0.696969696969697,0.5530303030303031
Libre GL,nested_selected,C,66,22,0.8181818181818182,0.5909090909090909,0.7045454545454546
Libre GL,nested_selected,P,22,66,0.36363636363636365,0.9393939393939394,0.6515151515151516
Libre GL,nested_selected,F,22,66,0.5454545454545454,0.7272727272727273,0.6363636363636364
Libre GL,no_sensor_reference,C,66,22,1.0,0.0,0.5
Libre GL,no_sensor_reference,P,22,66,0.0,1.0,0.5
Libre GL,no_sensor_reference,F,22,66,0.0,1.0,0.5
