mode,sheet,meal,glucose_ratio_to_reference,TG_ratio_to_reference,cholesterol_ratio_to_reference,conditional_carbs_g,conditional_fat_g_TG,conditional_fat_g_CH_alternative
fasting_excess,4e,Fasting,0.0,0.0,0.0,0.0,0.0,0.0
fasting_excess,4f,Bacon and eggs,0.3736749193398702,0.29807051542374174,1.3118174866026324,22.42049516039221,7.451762885593544,32.79543716506581
fasting_excess,4g,Pizza,1.0,1.0,1.0,60.0,25.0,25.0
fasting_excess,4h,Ground beef,0.3911244795264699,0.12245031981872921,3.5755176348964506,23.467468771588194,3.0612579954682304,89.38794087241126
fasting_excess,4i,Milkshake,1.516195054084467,0.0,0.3454069071685244,90.97170324506803,0.0,8.63517267921311
within_record_rise,4e,Fasting,0.0038053290594124095,0.010606400290970912,0.003933243522268189,0.22831974356474458,0.2651600072742728,0.09833108805670472
within_record_rise,4f,Bacon and eggs,0.10990216620968331,0.09966679047357063,0.965558380726067,6.5941299725809985,2.491669761839266,24.138959518151676
within_record_rise,4g,Pizza,1.0,1.0,1.0,60.0,25.0,25.0
within_record_rise,4h,Ground beef,0.007385399223327762,0.2839678474736724,7.019513519772844,0.4431239533996657,7.09919618684181,175.4878379943211
within_record_rise,4i,Milkshake,0.3048923737080882,0.3154980331833847,0.0042235528974668545,18.29354242248529,7.887450829584617,0.10558882243667136
raw_level,4e,Fasting,0.3151962414646553,0.8338566892590318,0.6782346096489316,18.911774487879317,20.846417231475794,16.95586524122329
raw_level,4f,Bacon and eggs,0.5682559942301235,0.8359678526742574,1.1003320752949843,34.095359653807414,20.899196316856436,27.50830188237461
raw_level,4g,Pizza,1.0,1.0,1.0,60.0,25.0,25.0
raw_level,4h,Ground beef,0.5830397550995623,0.646116685573606,1.8287124371485155,34.982385305973736,16.15291713934015,45.717810928712886
raw_level,4i,Milkshake,1.3534923131743979,0.47228713975681147,0.699705003258721,81.20953879046387,11.807178493920286,17.492625081468024
