sheet,meal,channel,start_nA,end_nA,mean_nA,peak_nA,peak_recording_min,net_change_nA
4e,Fasting,glucose,23.01835,6.24397,11.135026727272729,23.01835,1.0,-16.77438
4e,Fasting,cholesterol,13.50154,5.12268,8.248313636363635,13.50154,1.0,-8.37886
4e,Fasting,TG_related,57.79632,17.18085,30.42300981818182,57.79632,1.0,-40.61547
4f,Bacon and eggs,glucose,18.74073,14.78492,19.90011890909091,23.69916,15.0,-3.9558099999999996
4f,Bacon and eggs,cholesterol,16.76272,8.63524,13.337838363636365,17.97421,24.0,-8.127480000000002
4f,Bacon and eggs,TG_related,27.69994,27.35797,30.317225090909087,36.70025,8.0,-0.3419699999999999
4g,Pizza,glucose,27.55546,19.62138,34.91217745454545,63.07568,15.0,-7.934080000000002
4g,Pizza,cholesterol,15.72112,5.94836,12.108806363636363,20.96918,15.0,-9.772760000000002
4g,Pizza,TG_related,37.90134,11.58375,36.117143454545456,82.15651,14.0,-26.317589999999996
4h,Ground beef,glucose,28.92764,14.71978,20.501927818181812,28.92764,1.0,-14.20786
4h,Ground beef,cholesterol,15.81224,17.97222,22.090408545454547,28.44797,23.0,2.159980000000001
4h,Ground beef,TG_related,21.93714,20.49437,23.430965090909087,28.50297,26.0,-1.4427699999999994
4i,Milkshake,glucose,51.29324,47.30359,47.56921236363636,66.95612,13.0,-3.9896499999999975
4i,Milkshake,cholesterol,19.01544,6.282,8.564730545454545,19.15376,5.0,-12.733440000000002
4i,Milkshake,TG_related,18.03624,7.83053,17.08034963636364,31.40502,10.0,-10.20571
