meal,start_min,end_min,carbs_g_conditional,fat_g_conditional
Fasting,1,55.0,0.0,0.0
Bacon and eggs,1,55.0,22.42049516039221,7.451762885593544
Pizza,1,55.0,60.0,25.0
Ground beef,1,55.0,23.467468771588194,3.0612579954682304
Milkshake,1,55.0,90.97170324506803,0.0
Fasting,5,55.0,0.0,0.0
Bacon and eggs,5,55.0,23.0005015916104,7.451762885593545
Pizza,5,55.0,60.0,25.0
Ground beef,5,55.0,23.30445156494824,3.06125799546823
Milkshake,5,55.0,87.91389177157048,0.0
Fasting,10,55.0,0.0,0.0
Bacon and eggs,10,55.0,24.319314974272142,8.417034975684402
Pizza,10,55.0,60.0,25.0
Ground beef,10,55.0,24.636557257242547,3.4578013301073067
Milkshake,10,55.0,86.52768503902405,0.0
Fasting,1,30,0.0,0.0
Bacon and eggs,1,30,15.010564592140717,0.7132013126506612
Pizza,1,30,60.0,25.0
Ground beef,1,30,13.507203219488327,0.040563587062944155
Milkshake,1,30,73.20300230456104,0.0
Fasting,20,55.0,0.0,0.0
Bacon and eggs,20,55.0,32.03676525761713,49.11901049690975
Pizza,20,55.0,60.0,25.0
Ground beef,20,55.0,34.590741548184425,20.204055647373092
Milkshake,20,55.0,100.62179190711342,0.0
