macro,feature,dataset,people,same_direction,median_person_correlation
Carbs,peak_height,BIG_IDEAs_development,5,4,0.4331576446818645
Carbs,peak_height,CGMacros,34,31,0.48653088057704774
Carbs,middle_positive_area,BIG_IDEAs_development,5,4,0.3926203209060019
Carbs,middle_positive_area,CGMacros,34,33,0.5205970998622922
Carbs,response_std,BIG_IDEAs_development,5,3,0.3992779090386437
Carbs,response_std,CGMacros,34,30,0.4445175494901311
Fat,rise_max,BIG_IDEAs_development,5,4,-0.1612971594205448
Fat,rise_max,CGMacros,34,29,-0.24249061677599687
Fat,response_std,BIG_IDEAs_development,5,4,-0.14244192962397267
Fat,response_std,CGMacros,34,24,-0.20000502611867976
Protein,response_std,BIG_IDEAs_development,5,4,-0.22470585969960838
Protein,response_std,CGMacros,34,29,-0.21156999178155517
Fat,peak_height,BIG_IDEAs_development,5,3,-0.14474823761377806
Fat,peak_height,CGMacros,34,26,-0.19046111588155357
Protein,peak_height,BIG_IDEAs_development,5,3,-0.15429708650707377
Protein,peak_height,CGMacros,34,27,-0.135524890701486
Protein,middle_positive_area,BIG_IDEAs_development,5,3,-0.02297943665450292
Protein,middle_positive_area,CGMacros,34,22,-0.18026665576409892
