macro,pid,low_records,high_records
Carbs,1,2,2
Carbs,2,2,2
Carbs,3,2,2
Carbs,4,2,2
Carbs,5,2,2
Carbs,6,2,2
Carbs,8,2,2
Carbs,9,2,2
Carbs,10,2,2
Carbs,11,2,1
Carbs,12,2,2
Carbs,13,1,2
Carbs,14,2,2
Carbs,15,1,2
Carbs,17,2,2
Carbs,26,0,1
Carbs,27,2,2
Carbs,31,2,2
Carbs,32,2,2
Carbs,33,2,2
Carbs,34,2,2
Carbs,35,2,2
Carbs,36,2,2
Carbs,38,2,2
Carbs,39,2,2
Carbs,41,2,2
Carbs,42,2,2
Carbs,43,2,2
Carbs,44,2,2
Carbs,45,2,2
Carbs,46,2,1
Carbs,47,0,2
Carbs,48,1,2
Carbs,49,2,2
Protein,1,2,1
Protein,2,2,2
Protein,3,2,1
Protein,4,2,2
Protein,5,2,2
Protein,6,2,2
Protein,8,2,2
Protein,9,2,2
Protein,10,2,2
Protein,11,1,2
Protein,12,2,2
Protein,13,2,2
Protein,14,2,2
Protein,15,2,2
Protein,17,2,2
Protein,26,1,1
Protein,27,2,2
Protein,31,2,2
Protein,32,2,2
Protein,33,2,2
Protein,34,2,2
Protein,35,2,2
Protein,36,2,2
Protein,38,2,2
Protein,39,2,2
Protein,41,2,2
Protein,42,2,2
Protein,43,2,2
Protein,44,2,2
Protein,45,2,2
Protein,46,1,1
Protein,47,2,2
Protein,48,2,1
Protein,49,2,2
Fat,1,2,2
Fat,2,2,2
Fat,3,2,2
Fat,4,2,2
Fat,5,2,2
Fat,6,2,2
Fat,8,2,2
Fat,9,2,2
Fat,10,2,2
Fat,11,1,2
Fat,12,2,2
Fat,13,2,2
Fat,14,2,2
Fat,15,2,1
Fat,17,2,2
Fat,26,1,2
Fat,27,2,2
Fat,31,2,2
Fat,32,2,2
Fat,33,2,1
Fat,34,2,2
Fat,35,2,2
Fat,36,2,2
Fat,38,2,2
Fat,39,2,0
Fat,41,2,2
Fat,42,2,2
Fat,43,2,2
Fat,44,2,1
Fat,45,2,2
Fat,46,1,2
Fat,47,2,1
Fat,48,2,1
Fat,49,2,2
