source_excel_row,sensor_time_s,glucose_current_nA,cholesterol_current_nA,tg_proxy_current_nA,ph_voltage_as_recorded
4,1,24.00827,13.89393,60.74933,-76.35453
5,2,23.99049,13.88566,60.69428,-76.34418
6,3,23.97276,13.87744,60.63948,-76.33384
7,4,23.95505,13.86925,60.58491,-76.32351
8,5,23.93739,13.86111,60.53057,-76.3132
9,6,23.91976,13.85302,60.47646,-76.3029
10,7,23.90217,13.84497,60.42256,-76.29261
11,8,23.88461,13.83697,60.36889,-76.28233
12,9,23.86709,13.82902,60.31543,-76.27207
13,10,23.8496,13.82111,60.26217,-76.26182
14,11,23.83216,13.81326,60.20912,-76.25158
15,12,23.81474,13.80546,60.15626,-76.24135
16,13,23.79736,13.79771,60.10361,-76.23114
17,14,23.78002,13.79001,60.05114,-76.22093
18,15,23.76271,13.78236,59.99887,-76.21074
19,16,23.74544,13.77477,59.94678,-76.20056
20,17,23.7282,13.76723,59.89487,-76.1904
21,18,23.71099,13.75975,59.84313,-76.18024
22,19,23.69382,13.75233,59.79158,-76.1701
23,20,23.67669,13.74496,59.74019,-76.15997
24,21,23.65959,13.73765,59.68897,-76.14985
25,22,23.64252,13.73039,59.63792,-76.13974
26,23,23.62549,13.7232,59.58703,-76.12964
27,24,23.60849,13.71606,59.53629,-76.11955
28,25,23.59152,13.70899,59.48571,-76.10947
29,26,23.57459,13.70197,59.43529,-76.0994
30,27,23.5577,13.69501,59.38501,-76.08934
31,28,23.54083,13.68812,59.33488,-76.07929
32,29,23.524,13.68128,59.28489,-76.06924
33,30,23.5072,13.67451,59.23505,-76.0592
34,31,23.49044,13.6678,59.18535,-76.04917
35,32,23.47371,13.66115,59.13578,-76.03914
36,33,23.45701,13.65457,59.08635,-76.02912
37,34,23.44035,13.64804,59.03706,-76.0191
38,35,23.42372,13.64159,58.9879,-76.00908
39,36,23.40712,13.63519,58.93886,-75.99908
40,37,23.39055,13.62886,58.88996,-75.98907
41,38,23.37402,13.6226,58.84117,-75.97907
42,39,23.35752,13.6164,58.79252,-75.96907
43,40,23.34105,13.61027,58.74398,-75.95907
44,41,23.32461,13.6042,58.69556,-75.94908
45,42,23.30821,13.5982,58.64727,-75.9391
46,43,23.29184,13.59226,58.59908,-75.92911
