source_excel_row,sensor_time_s,glucose_current_nA,cholesterol_current_nA,tg_proxy_current_nA,ph_voltage_as_recorded
4,1,17.72304,18.27187,25.40171,-69.50338
5,2,17.73919,18.24565,25.43032,-69.45086
6,3,17.75541,18.21948,25.45945,-69.39838
7,4,17.7717,18.19335,25.4891,-69.34593
8,5,17.78804,18.16727,25.51925,-69.29352
9,6,17.80444,18.14121,25.5499,-69.24115
10,7,17.8209,18.1152,25.58104,-69.18883
11,8,17.83741,18.08921,25.61265,-69.13655
12,9,17.85397,18.06325,25.64475,-69.08431
13,10,17.87057,18.03733,25.67731,-69.03211
14,11,17.88723,18.01143,25.71032,-68.97996
15,12,17.90392,17.98556,25.74379,-68.92785
16,13,17.92066,17.95971,25.77769,-68.87579
17,14,17.93744,17.93388,25.81203,-68.82378
18,15,17.95426,17.90808,25.84679,-68.77182
19,16,17.97111,17.88229,25.88196,-68.71991
20,17,17.988,17.85652,25.91754,-68.66805
21,18,18.00492,17.83076,25.95352,-68.61624
22,19,18.02188,17.80502,25.98988,-68.56448
23,20,18.03887,17.77929,26.02661,-68.51278
24,21,18.05588,17.75357,26.06371,-68.46113
25,22,18.07294,17.72786,26.10117,-68.40954
26,23,18.09002,17.70217,26.13898,-68.35801
27,24,18.10713,17.67648,26.17712,-68.30654
28,25,18.12427,17.65081,26.21559,-68.25513
29,26,18.14145,17.62515,26.25439,-68.20378
30,27,18.15865,17.5995,26.29349,-68.1525
31,28,18.17589,17.57386,26.3329,-68.10128
32,29,18.19315,17.54822,26.37259,-68.05012
33,30,18.21044,17.5226,26.41258,-67.99904
34,31,18.22776,17.49698,26.45283,-67.94803
35,32,18.24511,17.47137,26.49334,-67.89708
36,33,18.26249,17.44576,26.53411,-67.84621
37,34,18.2799,17.42017,26.57512,-67.79542
38,35,18.29733,17.39458,26.61636,-67.7447
39,36,18.31479,17.36901,26.65783,-67.69407
40,37,18.33229,17.34344,26.69951,-67.64351
41,38,18.34981,17.31789,26.7414,-67.59303
42,39,18.36736,17.29236,26.78349,-67.54265
43,40,18.38493,17.26684,26.82577,-67.49234
44,41,18.40254,17.24133,26.86823,-67.44213
45,42,18.42016,17.21585,26.91087,-67.39201
46,43,18.43782,17.19038,26.95368,-67.34198
47,44,18.45549,17.16494,26.99664,-67.29205
48,45,18.47319,17.13951,27.03975,-67.24221
49,46,18.49091,17.11412,27.08301,-67.19248
50,47,18.50866,17.08875,27.12641,-67.14285
51,48,18.52642,17.06342,27.16993,-67.09333
52,49,18.5442,17.03812,27.21358,-67.04391
53,50,18.56201,17.01286,27.25735,-66.99461
54,51,18.57983,16.98764,27.30122,-66.94542
55,52,18.59766,16.96246,27.3452,-66.89635
56,53,18.61551,16.93732,27.38927,-66.8474
57,54,18.63337,16.91223,27.43343,-66.79858
58,55,18.65125,16.88718,27.47768,-66.74988
59,56,18.66913,16.86218,27.522,-66.70131
60,57,18.68702,16.83724,27.5664,-66.65287
61,58,18.70492,16.81234,27.61085,-66.60457
62,59,18.72282,16.7875,27.65537,-66.55642
63,60,18.74073,16.76272,27.69994,-66.5084
64,61,18.75863,16.738,27.74455,-66.46054
65,62,18.77654,16.71334,27.78922,-66.41282
66,63,18.79445,16.68875,27.83392,-66.36526
67,64,18.81234,16.66422,27.87866,-66.31786
68,65,18.83024,16.63976,27.92343,-66.27063
69,66,18.84812,16.61537,27.96823,-66.22356
70,67,18.86598,16.59105,28.01306,-66.17666
71,68,18.88384,16.5668,28.05791,-66.12995
72,69,18.90167,16.54263,28.10277,-66.08341
73,70,18.91948,16.51854,28.14764,-66.03706
74,71,18.93726,16.49453,28.19253,-65.9909
75,72,18.95501,16.47061,28.23742,-65.94493
76,73,18.97274,16.44677,28.28231,-65.89917
77,74,18.99043,16.42303,28.3272,-65.85361
78,75,19.00808,16.39937,28.37208,-65.80827
79,76,19.02568,16.37582,28.41696,-65.76314
80,77,19.04325,16.35236,28.46183,-65.71823
81,78,19.06076,16.32899,28.50668,-65.67355
82,79,19.07822,16.30573,28.55153,-65.6291
83,80,19.09562,16.28257,28.59636,-65.58489
84,81,19.11296,16.25951,28.64117,-65.54092
85,82,19.13024,16.23656,28.68596,-65.49721
86,83,19.14745,16.21371,28.73073,-65.45375
87,84,19.16459,16.19097,28.77548,-65.41055
88,85,19.18165,16.16834,28.8202,-65.36762
89,86,19.19863,16.14581,28.86489,-65.32497
90,87,19.21554,16.1234,28.90955,-65.2826
91,88,19.23236,16.10111,28.95418,-65.24051
92,89,19.24909,16.07893,28.99879,-65.19872
93,90,19.26574,16.05686,29.04336,-65.15723
94,91,19.28229,16.03492,29.0879,-65.11605
95,92,19.29875,16.01309,29.13241,-65.07519
96,93,19.31512,15.99138,29.17689,-65.03464
97,94,19.33139,15.96979,29.22133,-64.99442
98,95,19.34755,15.94832,29.26574,-64.95454
99,96,19.36362,15.92698,29.31011,-64.915
100,97,19.37958,15.90576,29.35445,-64.8758
101,98,19.39543,15.88466,29.39875,-64.83696
102,99,19.41118,15.86369,29.44301,-64.79849
103,100,19.42683,15.84284,29.48724,-64.76038
104,101,19.44236,15.82213,29.53143,-64.72265
105,102,19.45779,15.80154,29.57559,-64.6853
106,103,19.47311,15.78108,29.61971,-64.64833
107,104,19.48832,15.76076,29.66379,-64.61177
108,105,19.50343,15.74057,29.70783,-64.5756
109,106,19.51842,15.72051,29.75183,-64.53984
110,107,19.53331,15.70059,29.79579,-64.50449
111,108,19.5481,15.68081,29.8397,-64.46957
112,109,19.56277,15.66116,29.88357,-64.43506
113,110,19.57735,15.64166,29.92739,-64.40099
114,111,19.59181,15.62229,29.97117,-64.36735
115,112,19.60618,15.60307,30.01489,-64.33415
116,113,19.62045,15.58399,30.05856,-64.3014
117,114,19.63461,15.56506,30.10218,-64.26909
118,115,19.64868,15.54627,30.14574,-64.23723
119,116,19.66266,15.52763,30.18924,-64.20583
120,117,19.67654,15.50914,30.23268,-64.17488
121,118,19.69034,15.4908,30.27606,-64.1444
122,119,19.70405,15.47262,30.31937,-64.11437
123,120,19.71768,15.45459,30.3626,-64.0848
124,121,19.73124,15.43671,30.40577,-64.05569
125,122,19.74471,15.419,30.44886,-64.02704
126,123,19.75812,15.40145,30.49187,-63.99885
127,124,19.77146,15.38405,30.5348,-63.97112
128,125,19.78473,15.36683,30.57764,-63.9555
129,126,19.79794,15.34977,30.6204,-63.94004
130,127,19.8111,15.33287,30.66307,-63.92474
131,128,19.8242,15.31614,30.70564,-63.9096
132,129,19.83725,15.29958,30.74812,-63.89461
133,130,19.85025,15.2832,30.7905,-63.87977
134,131,19.86321,15.26698,30.83277,-63.86509
135,132,19.87613,15.25094,30.87494,-63.85056
136,133,19.88901,15.23507,30.91699,-63.83618
137,134,19.90186,15.21938,30.95892,-63.82194
138,135,19.91467,15.20386,31.00073,-63.80785
139,136,19.92745,15.18853,31.04241,-63.79391
140,137,19.94021,15.17337,31.08396,-63.78011
141,138,19.95294,15.1584,31.12537,-63.76645
142,139,19.96564,15.14362,31.16664,-63.75293
143,140,19.97833,15.12902,31.20777,-63.73956
144,141,19.99099,15.11461,31.24874,-63.72632
145,142,20.00363,15.10038,31.28956,-63.71321
146,143,20.01626,15.08635,31.33022,-63.70024
147,144,20.02887,15.07251,31.37071,-63.68741
148,145,20.04146,15.05887,31.41103,-63.67471
149,146,20.05404,15.04542,31.45118,-63.66213
150,147,20.0666,15.03216,31.49115,-63.64969
151,148,20.07915,15.01909,31.53093,-63.63738
152,149,20.09169,15.00622,31.57052,-63.62519
153,150,20.10421,14.99355,31.60992,-63.61313
154,151,20.11672,14.98106,31.64912,-63.60119
155,152,20.12922,14.96877,31.68811,-63.58938
156,153,20.14171,14.95668,31.7269,-63.57768
157,154,20.15419,14.94477,31.76547,-63.56611
158,155,20.16665,14.93306,31.80382,-63.55466
159,156,20.17911,14.92153,31.84195,-63.54332
160,157,20.19155,14.9102,31.87986,-63.53211
161,158,20.20398,14.89905,31.91754,-63.521
162,159,20.21639,14.88808,31.95498,-63.51002
163,160,20.2288,14.87729,31.99219,-63.49914
164,161,20.24118,14.86669,32.02916,-63.48838
165,162,20.25356,14.85626,32.06589,-63.47773
166,163,20.26591,14.84601,32.10237,-63.46719
167,164,20.27825,14.83593,32.13861,-63.45676
168,165,20.29057,14.82603,32.17459,-63.44644
169,166,20.30287,14.8163,32.21032,-63.43623
170,167,20.31515,14.80673,32.24579,-63.42612
171,168,20.32742,14.79733,32.281,-63.41612
172,169,20.33966,14.7881,32.31595,-63.40623
173,170,20.35187,14.77902,32.35064,-63.39643
174,171,20.36407,14.7701,32.38506,-63.38675
175,172,20.37623,14.76133,32.41922,-63.37716
176,173,20.38837,14.75272,32.45312,-63.36768
177,174,20.40049,14.74424,32.48675,-63.35829
178,175,20.41257,14.73591,32.52011,-63.34901
