source_excel_row,sensor_time_s,glucose_current_nA,cholesterol_current_nA,tg_proxy_current_nA,ph_voltage_as_recorded
4,1,28.02194,16.03145,36.30368,-68.33323
5,2,28.00206,16.02022,36.33077,-68.33476
6,3,27.98257,16.00921,36.35801,-68.33627
7,4,27.96345,15.99843,36.38538,-68.33776
8,5,27.9447,15.98789,36.41288,-68.33923
9,6,27.92631,15.97757,36.44049,-68.34069
10,7,27.90827,15.96749,36.4682,-68.34213
11,8,27.89056,15.95764,36.496,-68.34356
12,9,27.87319,15.94803,36.52388,-68.34496
13,10,27.85613,15.93866,36.55184,-68.34634
14,11,27.83937,15.92952,36.57985,-68.34771
15,12,27.82291,15.92062,36.60791,-68.34906
16,13,27.80674,15.91196,36.63602,-68.35038
17,14,27.79086,15.90353,36.66416,-68.35169
18,15,27.77527,15.89535,36.69232,-68.35297
19,16,27.76,15.88741,36.7205,-68.35424
20,17,27.74506,15.8797,36.74869,-68.35548
21,18,27.73047,15.87224,36.77687,-68.3567
22,19,27.71625,15.86501,36.80504,-68.3579
23,20,27.70242,15.85801,36.8332,-68.35908
24,21,27.689,15.85124,36.86133,-68.36023
25,22,27.67599,15.8447,36.88944,-68.36136
26,23,27.66343,15.83837,36.9175,-68.36247
27,24,27.65132,15.83226,36.94553,-68.36356
28,25,27.63968,15.82635,36.97351,-68.36462
29,26,27.62852,15.82065,37.00144,-68.36565
30,27,27.61784,15.81515,37.02931,-68.36666
31,28,27.60766,15.80983,37.05713,-68.36765
32,29,27.59798,15.80471,37.08488,-68.36861
33,30,27.5888,15.79977,37.11256,-68.36955
34,31,27.58012,15.795,37.14017,-68.37046
35,32,27.57194,15.79041,37.16771,-68.37135
36,33,27.56427,15.786,37.19518,-68.3722
37,34,27.55711,15.78174,37.22256,-68.37304
38,35,27.55045,15.77766,37.24986,-68.37384
39,36,27.54431,15.77373,37.27708,-68.37462
40,37,27.53867,15.76997,37.30421,-68.37537
41,38,27.53353,15.76636,37.33125,-68.3761
42,39,27.52891,15.7629,37.3582,-68.3768
43,40,27.52479,15.7596,37.38505,-68.37747
44,41,27.52119,15.75643,37.41181,-68.37811
45,42,27.5181,15.75342,37.43847,-68.37872
46,43,27.51553,15.75054,37.46504,-68.3793
47,44,27.51348,15.74781,37.4915,-68.37986
48,45,27.51195,15.74521,37.51787,-68.38039
49,46,27.51095,15.74275,37.54413,-68.38089
50,47,27.51048,15.74042,37.5703,-68.38136
51,48,27.51055,15.73822,37.59636,-68.3818
52,49,27.51117,15.73616,37.62232,-68.38221
53,50,27.51233,15.73422,37.64819,-68.38259
54,51,27.51404,15.7324,37.67395,-68.38294
55,52,27.51632,15.73071,37.69961,-68.38326
56,53,27.51916,15.72913,37.72518,-68.38355
57,54,27.52258,15.72767,37.75064,-68.38381
58,55,27.52658,15.72632,37.77601,-68.38403
59,56,27.53116,15.72508,37.80128,-68.38423
60,57,27.53633,15.72394,37.82644,-68.3844
61,58,27.5421,15.72291,37.85151,-68.38453
62,59,27.54848,15.72197,37.87647,-68.38464
63,60,27.55546,15.72112,37.90134,-68.38471
64,61,27.56304,15.72036,37.9261,-68.38475
65,62,27.57123,15.71968,37.95076,-68.38476
66,63,27.58002,15.71908,37.97533,-68.38474
67,64,27.58939,15.71855,37.99979,-68.38469
68,65,27.59936,15.71809,38.02416,-68.3846
69,66,27.60989,15.7177,38.04842,-68.38448
70,67,27.62098,15.71737,38.0726,-68.38433
71,68,27.63263,15.7171,38.09667,-68.38415
72,69,27.64481,15.71689,38.12065,-68.38393
73,70,27.65752,15.71672,38.14454,-68.38368
74,71,27.67073,15.71662,38.16833,-68.3834
75,72,27.68445,15.71655,38.19204,-68.38309
76,73,27.69864,15.71654,38.21565,-68.38274
77,74,27.71331,15.71657,38.23918,-68.38236
78,75,27.72844,15.71664,38.26263,-68.38195
79,76,27.74402,15.71675,38.28599,-68.3815
80,77,27.76005,15.7169,38.30927,-68.38102
81,78,27.7765,15.71708,38.33248,-68.38051
82,79,27.79337,15.7173,38.35561,-68.37997
83,80,27.81066,15.71755,38.37867,-68.37939
84,81,27.82836,15.71783,38.40166,-68.37877
85,82,27.84644,15.71814,38.42459,-68.37813
86,83,27.86492,15.71847,38.44745,-68.37745
87,84,27.88377,15.71884,38.47025,-68.37674
88,85,27.903,15.71922,38.49299,-68.37599
89,86,27.92259,15.71963,38.51568,-68.37521
90,87,27.94255,15.72006,38.53831,-68.37439
91,88,27.96285,15.7205,38.56089,-68.37355
92,89,27.98351,15.72097,38.58343,-68.37266
93,90,28.0045,15.72145,38.60592,-68.37175
94,91,28.02584,15.72195,38.62837,-68.3708
95,92,28.0475,15.72246,38.65078,-68.36981
96,93,28.06949,15.72298,38.67316,-68.36879
97,94,28.09179,15.72351,38.6955,-68.36774
98,95,28.1144,15.72406,38.7178,-68.36665
99,96,28.13732,15.72462,38.74008,-68.36553
100,97,28.16053,15.72518,38.76234,-68.36438
101,98,28.18402,15.72575,38.78456,-68.36319
102,99,28.20779,15.72633,38.80677,-68.36196
103,100,28.23183,15.72691,38.82895,-68.3607
104,101,28.25612,15.7275,38.85112,-68.35941
105,102,28.28066,15.72809,38.87328,-68.35808
106,103,28.30543,15.72868,38.89543,-68.35672
107,104,28.33042,15.72928,38.91757,-68.35532
108,105,28.35562,15.72987,38.9397,-68.35388
109,106,28.38101,15.73046,38.96184,-68.35242
110,107,28.40659,15.73105,38.98398,-68.35091
111,108,28.43235,15.73164,39.00613,-68.34937
112,109,28.45828,15.73222,39.02829,-68.3478
113,110,28.48436,15.7328,39.05046,-68.34619
114,111,28.51059,15.73337,39.07266,-68.34455
115,112,28.53695,15.73393,39.09488,-68.34286
116,113,28.56345,15.73448,39.11712,-68.34115
117,114,28.59006,15.73503,39.1394,-68.3394
118,115,28.61678,15.73556,39.16171,-68.33761
119,116,28.64361,15.73608,39.18407,-68.33579
120,117,28.67054,15.73658,39.20646,-68.33393
121,118,28.69754,15.73708,39.2289,-68.33203
122,119,28.72463,15.73755,39.25139,-68.3301
123,120,28.75179,15.73801,39.27393,-68.32814
124,121,28.77902,15.73846,39.29652,-68.32613
125,122,28.8063,15.73889,39.31917,-68.32409
126,123,28.83363,15.7393,39.34188,-68.32202
127,124,28.86101,15.73969,39.36466,-68.3199
128,125,28.88843,15.74005,39.3875,-68.31776
129,126,28.91588,15.7404,39.41042,-68.31557
130,127,28.94335,15.74073,39.43341,-68.31335
131,128,28.97085,15.74104,39.45648,-68.31109
132,129,28.99836,15.74132,39.47963,-68.30879
133,130,29.02588,15.74158,39.50287,-68.30646
134,131,29.05341,15.74182,39.5262,-68.30409
135,132,29.08094,15.74204,39.54962,-68.30168
136,133,29.10847,15.74223,39.57314,-68.29923
137,134,29.13599,15.7424,39.59676,-68.29675
138,135,29.1635,15.74254,39.62048,-68.29423
139,136,29.191,15.74266,39.64432,-68.29167
