source_excel_row,sensor_time_s,glucose_current_nA,cholesterol_current_nA,tg_proxy_current_nA,ph_voltage_as_recorded
4,1,30.48777,16.05197,22.26711,-85.43164
5,2,30.4584,16.04615,22.26005,-85.46244
6,3,30.42917,16.0404,22.25307,-85.49302
7,4,30.40007,16.03472,22.24615,-85.52335
8,5,30.3711,16.02911,22.23931,-85.55344
9,6,30.34227,16.02356,22.23254,-85.58329
10,7,30.31356,16.01808,22.22584,-85.61289
11,8,30.28497,16.01267,22.2192,-85.64223
12,9,30.25651,16.00732,22.21263,-85.67131
13,10,30.22818,16.00204,22.20613,-85.70012
14,11,30.19997,15.99682,22.19969,-85.72867
15,12,30.17187,15.99167,22.19331,-85.75695
16,13,30.1439,15.98659,22.18699,-85.78495
17,14,30.11604,15.98156,22.18074,-85.81267
18,15,30.0883,15.9766,22.17454,-85.8401
19,16,30.06067,15.97171,22.16841,-85.86725
20,17,30.03315,15.96687,22.16232,-85.89411
21,18,30.00574,15.9621,22.1563,-85.92067
22,19,29.97845,15.9574,22.15033,-85.94693
23,20,29.95125,15.95275,22.14441,-85.9729
24,21,29.92417,15.94817,22.13854,-85.99855
25,22,29.89718,15.94364,22.13272,-86.02391
26,23,29.8703,15.93918,22.12695,-86.04895
27,24,29.84351,15.93478,22.12123,-86.07367
28,25,29.81682,15.93044,22.11556,-86.09808
29,26,29.79023,15.92615,22.10993,-86.12218
30,27,29.76373,15.92193,22.10435,-86.14595
31,28,29.73733,15.91777,22.09881,-86.1694
32,29,29.71101,15.91366,22.09331,-86.19253
33,30,29.68478,15.90961,22.08785,-86.21533
34,31,29.65864,15.90562,22.08243,-86.2378
35,32,29.63257,15.90168,22.07705,-86.25995
36,33,29.60659,15.8978,22.0717,-86.28176
37,34,29.58069,15.89397,22.0664,-86.30324
38,35,29.55487,15.8902,22.06112,-86.32439
39,36,29.52912,15.88649,22.05588,-86.3452
40,37,29.50344,15.88283,22.05067,-86.36567
41,38,29.47783,15.87922,22.0455,-86.38581
42,39,29.45229,15.87566,22.04035,-86.40562
43,40,29.42682,15.87216,22.03523,-86.42509
44,41,29.40141,15.8687,22.03014,-86.44421
45,42,29.37606,15.8653,22.02508,-86.46301
46,43,29.35077,15.86195,22.02004,-86.48146
47,44,29.32554,15.85865,22.01502,-86.49958
48,45,29.30036,15.8554,22.01003,-86.51735
49,46,29.27523,15.8522,22.00506,-86.53479
50,47,29.25015,15.84905,22.00011,-86.5519
51,48,29.22512,15.84594,21.99518,-86.56866
52,49,29.20014,15.84289,21.99027,-86.5851
53,50,29.1752,15.83988,21.98538,-86.60119
54,51,29.1503,15.83691,21.9805,-86.61696
55,52,29.12544,15.83399,21.97563,-86.63239
56,53,29.10061,15.83112,21.97078,-86.64749
57,54,29.07582,15.82829,21.96595,-86.66225
58,55,29.05105,15.82551,21.96112,-86.67669
59,56,29.02632,15.82277,21.95631,-86.69081
60,57,29.00162,15.82007,21.9515,-86.70459
61,58,28.97693,15.81742,21.94671,-86.71806
62,59,28.95228,15.81481,21.94192,-86.7312
63,60,28.92764,15.81224,21.93714,-86.74403
64,61,28.90302,15.80971,21.93236,-86.75653
65,62,28.87841,15.80723,21.92759,-86.76873
66,63,28.85383,15.80478,21.92282,-86.78061
67,64,28.82925,15.80238,21.91806,-86.79218
68,65,28.80468,15.80002,21.9133,-86.80344
69,66,28.78013,15.79769,21.90854,-86.8144
70,67,28.75558,15.79541,21.90378,-86.82506
71,68,28.73103,15.79317,21.89901,-86.83542
72,69,28.70649,15.79097,21.89425,-86.84549
73,70,28.68194,15.78881,21.88949,-86.85526
74,71,28.6574,15.78669,21.88472,-86.86474
75,72,28.63286,15.7846,21.87994,-86.87394
76,73,28.60831,15.78256,21.87517,-86.88285
77,74,28.58375,15.78056,21.87038,-86.89149
78,75,28.55919,15.77859,21.86559,-86.89985
79,76,28.53461,15.77667,21.8608,-86.90794
80,77,28.51003,15.77478,21.856,-86.91575
81,78,28.48543,15.77294,21.85118,-86.92331
82,79,28.46082,15.77113,21.84636,-86.9306
83,80,28.43619,15.76936,21.84154,-86.93763
84,81,28.41154,15.76763,21.8367,-86.94441
85,82,28.38687,15.76594,21.83185,-86.95094
86,83,28.36218,15.76429,21.82699,-86.95722
87,84,28.33747,15.76267,21.82211,-86.96326
88,85,28.31273,15.7611,21.81723,-86.96906
