source_excel_row,sensor_time_s,glucose_current_nA,cholesterol_current_nA,tg_proxy_current_nA,ph_voltage_as_recorded
4,1,51.06059,19.16203,16.65765,-84.35491
5,2,51.06941,19.15794,16.69048,-84.32743
6,3,51.07803,19.1539,16.72303,-84.30001
7,4,51.08645,19.14991,16.75528,-84.27266
8,5,51.09466,19.14596,16.78724,-84.24538
9,6,51.10267,19.14206,16.81889,-84.21816
10,7,51.11048,19.13822,16.85023,-84.19102
11,8,51.11809,19.13443,16.88126,-84.16394
12,9,51.1255,19.13069,16.91197,-84.13693
13,10,51.13271,19.127,16.94235,-84.10999
14,11,51.13973,19.12338,16.97241,-84.08312
15,12,51.14656,19.1198,17.00214,-84.05632
16,13,51.15319,19.11629,17.03153,-84.02959
17,14,51.15964,19.11283,17.06058,-84.00292
18,15,51.16589,19.10943,17.08929,-83.97633
19,16,51.17196,19.10609,17.11766,-83.9498
20,17,51.17785,19.10281,17.14567,-83.92335
21,18,51.18355,19.09959,17.17334,-83.89696
22,19,51.18907,19.09643,17.20065,-83.87065
23,20,51.19442,19.09332,17.22761,-83.8444
24,21,51.19959,19.09028,17.2542,-83.81822
25,22,51.20459,19.08729,17.28044,-83.79212
26,23,51.20942,19.08437,17.30632,-83.76608
27,24,51.21409,19.08151,17.33183,-83.74011
28,25,51.21858,19.0787,17.35699,-83.71421
29,26,51.22292,19.07596,17.38177,-83.68838
30,27,51.2271,19.07327,17.40619,-83.66263
31,28,51.23112,19.07064,17.43025,-83.63694
32,29,51.23499,19.06808,17.45394,-83.61132
33,30,51.2387,19.06557,17.47726,-83.58577
34,31,51.24227,19.06312,17.50022,-83.56029
35,32,51.24569,19.06073,17.52282,-83.53487
36,33,51.24897,19.05839,17.54505,-83.50953
37,34,51.2521,19.05612,17.56692,-83.48426
38,35,51.2551,19.0539,17.58845,-83.45905
39,36,51.25796,19.05174,17.60963,-83.43392
40,37,51.26069,19.04963,17.63048,-83.40885
41,38,51.26329,19.04758,17.65099,-83.38386
42,39,51.26576,19.04559,17.67119,-83.35893
43,40,51.2681,19.04365,17.69106,-83.33407
44,41,51.27032,19.04177,17.71063,-83.30928
45,42,51.27243,19.03994,17.7299,-83.28456
46,43,51.27441,19.03816,17.74888,-83.2599
47,44,51.27628,19.03644,17.76757,-83.23532
48,45,51.27804,19.03477,17.78599,-83.2108
49,46,51.27969,19.03315,17.80415,-83.18635
50,47,51.28123,19.03158,17.82205,-83.16196
51,48,51.28268,19.03006,17.83972,-83.13765
52,49,51.28403,19.02859,17.85714,-83.1134
53,50,51.28529,19.02716,17.87435,-83.08922
54,51,51.28645,19.02579,17.89134,-83.0651
55,52,51.28753,19.02446,17.90813,-83.04106
56,53,51.28852,19.02318,17.92472,-83.01708
57,54,51.28942,19.02194,17.94113,-82.99316
58,55,51.29025,19.02075,17.95736,-82.96931
59,56,51.29099,19.0196,17.97343,-82.94553
60,57,51.29166,19.0185,17.98935,-82.92182
61,58,51.29225,19.01744,18.00511,-82.89816
62,59,51.29278,19.01642,18.02074,-82.87458
63,60,51.29324,19.01544,18.03624,-82.85106
64,61,51.29363,19.0145,18.05162,-82.8276
65,62,51.29396,19.0136,18.06689,-82.80421
66,63,51.29424,19.01274,18.08205,-82.78089
67,64,51.29446,19.01191,18.09712,-82.75763
68,65,51.29463,19.01113,18.1121,-82.73443
69,66,51.29474,19.01038,18.12699,-82.71129
70,67,51.29481,19.00966,18.14181,-82.68822
71,68,51.29484,19.00898,18.15657,-82.66521
72,69,51.29482,19.00833,18.17126,-82.64227
73,70,51.29476,19.00771,18.18589,-82.61939
74,71,51.29467,19.00713,18.20048,-82.59657
75,72,51.29454,19.00657,18.21501,-82.57381
76,73,51.29438,19.00605,18.22951,-82.55112
77,74,51.29419,19.00556,18.24396,-82.52848
78,75,51.29397,19.00509,18.25838,-82.50591
79,76,51.29373,19.00466,18.27277,-82.4834
80,77,51.29346,19.00425,18.28714,-82.46095
81,78,51.29318,19.00387,18.30148,-82.43856
82,79,51.29288,19.00351,18.3158,-82.41623
83,80,51.29257,19.00318,18.3301,-82.39396
84,81,51.29224,19.00288,18.34439,-82.37175
